method,x_nm,free_energy_kj_mol_aligned,error_kj_mol
MBAR,1.483,17.816362,0.83640163
MBAR,1.549,15.143404,0.78853527
MBAR,1.615,11.765047,0.71547609
MBAR,1.68,9.5909066,0.67768686
MBAR,1.746,6.7869458,0.59203127
MBAR,1.812,4.779078,0.56179989
MBAR,1.878,2.9500792,0.47362502
MBAR,1.944,1.3629316,0.44591292
MBAR,2.01,0.65501332,0.32498738
MBAR,2.075,0,0
MBAR,2.141,0.10329056,0.4484322
MBAR,2.207,0.49377928,0.64997476
MBAR,2.273,0.30987169,0.69280255
MBAR,2.339,0.33002594,0.73311107
MBAR,2.405,1.4007208,0.78349671
MBAR,2.47,2.8921358,0.86663301
MBAR,2.536,3.6731132,0.8968644
MBAR,2.602,4.8848878,0.99259711
MBAR,2.668,6.8977942,1.0177899
MBAR,2.734,8.5126539,1.0656563
MBAR,2.8,10.70191,1.0757334
MBAR,2.865,13.070035,1.1110034
MBAR,2.931,15.695127,1.161389
MBAR,2.997,18.199293,1.1891011
MBAR,3.063,19.471531,1.2067361
MBAR,3.129,22.938063,1.2546024
MBAR,3.195,25.212974,1.3150652
MBAR,3.26,27.397192,1.3478159
MBAR,3.326,28.367116,1.3503352
MBAR,3.392,30.055034,1.3528544
MBAR,3.458,32.342543,1.3704894
MBAR,3.524,33.78861,1.3830858
MBAR,3.59,35.667995,1.3982015
MBAR,3.655,37.688459,1.4259136
MBAR,3.721,39.348666,1.4460679
MBAR,3.787,40.016276,1.4460679
MBAR,3.853,42.255917,1.4788185
MBAR,3.919,44.812989,1.5594356
MBAR,3.985,45.097667,1.5594356
MBAR,4.05,43.412268,1.5040114
MBAR,4.116,44.14034,1.5065306
MBAR,4.182,45.032166,1.5140885
MBAR,4.248,45.316845,1.5115692
MBAR,4.314,45.911395,1.5166078
MBAR,4.38,45.835817,1.5140885
MBAR,4.445,45.823221,1.5140885
MBAR,4.511,46.107899,1.5140885
MBAR,4.577,46.473195,1.5166078
MBAR,4.643,46.523581,1.5166078
MBAR,4.709,47.002245,1.5191271
MBAR,4.775,46.861165,1.5191271
MBAR,4.84,47.372579,1.5216463
MBAR,4.906,47.274327,1.5241656
MBAR,4.972,47.506101,1.5241656
MBAR,5.038,47.571602,1.5266849
MBAR,5.104,47.372579,1.5266849
MBAR,5.17,47.677412,1.5292042
MBAR,5.235,47.821011,1.5317235
MBAR,5.301,47.465792,1.5317235
MBAR,5.367,47.463273,1.5342427
UI,1.46975,18.4614,2.49907
UI,1.50925,16.56953,2.33076
UI,1.54875,15.01956,2.17174
UI,1.58825,13.24099,2.08359
UI,1.62775,11.30412,2.0656
UI,1.66725,9.81604,2.05337
UI,1.70675,8.58466,2.06723
UI,1.74625,7.17645,2.02221
UI,1.78575,5.83406,1.85081
UI,1.82525,4.88329,1.62273
UI,1.86475,3.85844,1.51297
UI,1.90425,2.63701,1.50802
UI,1.94375,1.7056,1.50756
UI,1.98325,1.09729,1.49107
UI,2.02275,0.53689,1.4286
UI,2.06225,0.11597,1.38229
UI,2.10175,0.02129,1.41204
UI,2.14125,0.03594,1.3975
UI,2.18075,0,1.24904
UI,2.22025,0.00741,1.08901
UI,2.25975,0.09712,1.03504
UI,2.29925,0.26908,1.03354
UI,2.33875,0.61431,1.01774
UI,2.37825,1.17995,1.01571
UI,2.41775,1.7367,0.99284
UI,2.45725,2.15485,0.88573
UI,2.49675,2.68847,0.8464
UI,2.53625,3.44469,0.94392
UI,2.57575,4.14548,1.03906
UI,2.61525,4.85401,1.07817
UI,2.65475,5.91256,1.14064
UI,2.69425,7.10201,1.24723
UI,2.73375,8.11042,1.39299
UI,2.77325,9.25036,1.57477
UI,2.81275,10.81392,1.74476
UI,2.85225,12.35147,1.7918
UI,2.89175,13.68792,1.68724
UI,2.93125,15.16669,1.5428
UI,2.97075,16.75378,1.43903
UI,3.01025,18.23945,1.38636
UI,3.04975,19.68961,1.32269
UI,3.08925,21.20703,1.22581
UI,3.12875,22.69212,1.06749
UI,3.16825,24.10293,0.79694
UI,3.20775,25.50143,0.45308
UI,3.24725,26.83384,0.18683
UI,3.28675,27.95308,0.13316
UI,3.32625,28.91074,0.13233
UI,3.36575,29.89072,0.13501
UI,3.40525,30.91168,0.14519
UI,3.44475,31.88584,0.24657
UI,3.48425,32.83603,0.4327
