#distance	AVG	err
1.450	-30.99237	1.39538
1.500	-33.27408	1.50546
1.550	-35.11158	1.56630
1.600	-37.54649	1.52350
1.650	-39.77263	1.51933
1.700	-41.10450	1.57992
1.750	-43.11008	1.53134
1.800	-44.58029	1.45028
1.850	-45.58724	1.36358
1.900	-47.15364	1.38363
1.950	-48.33732	1.34108
2.000	-48.95587	1.30218
2.050	-49.57294	1.28103
2.100	-49.72671	1.35980
2.150	-49.80333	1.38133
2.200	-50.01999	1.30311
2.250	-49.80282	1.28699
2.300	-49.57433	1.29666
2.350	-49.22726	1.28805
2.400	-48.19696	1.25087
2.450	-47.48365	1.18147
2.500	-46.85790	1.12311
2.550	-45.79274	1.13972
2.600	-45.00991	1.11100
2.650	-43.80440	1.08263
2.700	-42.27885	1.03715
2.750	-41.05821	1.09329
2.800	-39.16608	1.15586
2.850	-37.11226	1.16924
2.900	-35.46960	1.04021
2.950	-33.44831	0.93230
3.000	-31.76756	0.90247
3.050	-30.03633	0.92126
3.100	-27.98108	0.97002
3.150	-26.28264	0.89404
3.200	-24.52280	0.69104
3.250	-22.60406	0.54330
3.300	-21.24710	0.51627
3.350	-20.14268	0.55948
3.400	-18.79851	0.57172
3.450	-17.46461	0.56782
3.500	-16.26398	0.55954
3.550	-14.95423	0.56080
3.600	-13.44006	0.48582
3.650	-12.06379	0.45310
3.700	-10.70585	0.46851
3.750	-9.53602	0.47212
3.800	-8.38229	0.49402
3.850	-6.92327	0.51554
3.900	-5.28194	0.50476
3.950	-4.17059	0.51741
4.000	-3.66710	0.48555
4.050	-3.66006	0.44672
4.100	-3.50759	0.44890
4.150	-3.40198	0.44540
4.200	-3.14108	0.43470
4.250	-2.74655	0.42072
4.300	-2.56466	0.39391
4.350	-2.34005	0.36656
4.400	-2.11611	0.39524
4.450	-1.83520	0.35286
4.500	-1.73801	0.29601
4.550	-1.44879	0.29092
4.600	-1.10286	0.30030
4.650	-1.01840	0.28971
4.700	-0.85562	0.27424
4.750	-0.71723	0.22347
4.800	-0.47071	0.20153
4.850	-0.26062	0.21906
4.900	-0.19212	0.23621
4.950	-0.14052	0.20119
5.000	-0.05063	0.17557
5.050	0.11325	0.16207
5.100	0.22397	0.16050
5.150	0.22797	0.18904
5.200	0.13291	0.17494
5.250	0.11313	0.14421
5.300	0.02784	0.11441
5.350	0.01508	0.09233
5.400	0.00000	0.00000
