x,y,reference,fixed_mean,fixed_std,map_mean,map_std,hmc_mean,hmc_std
-3.152209176461626683e+00,-3.469684776461626541e+00,1.343529269912403734e+01,2.379586592475698126e+01,6.100452553925370225e+00,1.976788873127634361e+01,9.310234443530131188e+00,3.889325329959329736e+01,1.881046731310259545e+01
-3.152209176461626683e+00,-3.216245419109058812e+00,1.959592572005065847e+01,2.951279575119133369e+01,6.112100932452874780e+00,1.861901924491792215e+01,9.465683411618089238e+00,3.940127522060559784e+01,1.885242765340004567e+01
-3.152209176461626683e+00,-2.962806061756491083e+00,2.575655874097727249e+01,3.470072004425855994e+01,6.128203106440242465e+00,2.096074637404478835e+01,9.634604713435486190e+00,4.483569756540524764e+01,1.832842964291145904e+01
-3.152209176461626683e+00,-2.709366704403923354e+00,3.183681718621462764e+01,3.869293443466176541e+01,6.128984950309845026e+00,2.513345923611643684e+01,9.242946694011950015e+00,4.947228993324570467e+01,1.952065545824123660e+01
-3.152209176461626683e+00,-2.455927347051355625e+00,3.774358008511518392e+01,4.093667341821583250e+01,6.124474127093820108e+00,3.200231918188887903e+01,9.864872042180758527e+00,5.349963413972960069e+01,2.739112128223883147e+01
-3.152209176461626683e+00,-2.202487989698787896e+00,4.170362867885911839e+01,4.135551929177017882e+01,6.123944299191941276e+00,4.349641089933413696e+01,1.158218554386619026e+01,5.716367608213091245e+01,3.137046272924079204e+01
-3.152209176461626683e+00,-1.949048632346220167e+00,4.284523340635604427e+01,4.052412364028987213e+01,6.104924907988807270e+00,5.957739177708270972e+01,1.195600923951529992e+01,5.906346330711888015e+01,3.167336676863796541e+01
-3.152209176461626683e+00,-1.695609274993652438e+00,4.165295997916460635e+01,3.939505151077264600e+01,6.055282645503496042e+00,7.567143536162051021e+01,1.042081159658116540e+01,6.132504647961341959e+01,2.981808362875296936e+01
-3.152209176461626683e+00,-1.442169917641084709e+00,3.822241886389312526e+01,3.868907374937134591e+01,6.007413277345922786e+00,8.457880823392693515e+01,8.570759282194426731e+00,6.404728043277786753e+01,2.123377217379830739e+01
-3.152209176461626683e+00,-1.188730560288516980e+00,3.370193005955091792e+01,3.841396353857544455e+01,5.990121633146642033e+00,8.439775917459610355e+01,8.054719846983960707e+00,6.292032017814440792e+01,1.777237757447157307e+01
-3.152209176461626683e+00,-9.352912029359492507e-01,2.961038690627434988e+01,3.794660356461008632e+01,5.989325215133312952e+00,8.347368562405554826e+01,8.187071475935583820e+00,5.990523673598697485e+01,1.726451680126205446e+01
-3.152209176461626683e+00,-6.818518455833815217e-01,2.806602224589790850e+01,3.666635865408443351e+01,5.985257278946292558e+00,9.198326080046996367e+01,8.058417322309741948e+00,7.543330260550362709e+01,1.801966187870222313e+01
-3.152209176461626683e+00,-4.284124882308133486e-01,2.943975453927777508e+01,3.464140493807371968e+01,5.987235148611172342e+00,1.091805302823482862e+02,8.151578443733873414e+00,9.948412163107795436e+01,1.869634400355639059e+01
-3.152209176461626683e+00,-1.749731308782456196e-01,3.213026922400592156e+01,3.278950462742159289e+01,6.006631532094131032e+00,1.255015269054964051e+02,9.238303657456791385e+00,8.848740766238573485e+01,2.787524588187660868e+01
-3.152209176461626683e+00,7.846622647432210940e-02,3.438786101143618623e+01,3.234439445872658325e+01,6.026199120967766554e+00,1.340192434543195645e+02,1.047948908565828319e+01,7.024407118872655076e+01,3.163851965577040914e+01
-3.152209176461626683e+00,3.319055838268898384e-01,3.469498716571096963e+01,3.400095418558544225e+01,6.024211444787169079e+00,1.316358475127076133e+02,1.016661669535497659e+01,7.815010203331428329e+01,3.079856732193728064e+01
-3.152209176461626683e+00,5.853449411794575674e-01,3.517814331934086169e+01,3.733459390783355047e+01,6.008588577475477699e+00,1.163516982006199214e+02,8.876303399420789830e+00,1.004246809189189520e+02,2.324742866135056829e+01
-3.152209176461626683e+00,8.387842985320252964e-01,3.311522207864013012e+01,4.085659991689954040e+01,6.000799086797484527e+00,9.356413913329137699e+01,8.324923108675815087e+00,8.787473662928127283e+01,1.797165667331356076e+01
-3.152209176461626683e+00,1.092223655884593025e+00,3.219779908331237550e+01,4.262911702582914586e+01,6.001868854879933934e+00,7.626984571571904326e+01,8.448596369667740191e+00,5.529357186469096774e+01,1.736528432555713763e+01
-3.152209176461626683e+00,1.345663013237160754e+00,3.217267731910244777e+01,4.107268970027416799e+01,5.999834855078678864e+00,7.023589631321181059e+01,8.409626807219892086e+00,5.129022851344803513e+01,1.771969018101548698e+01
-3.152209176461626683e+00,1.599102370589728483e+00,3.108256807349367179e+01,3.559504439891043148e+01,6.011006894695292146e+00,6.817472230875767991e+01,8.411751126479705576e+00,5.036379505965167169e+01,1.791558533747429749e+01
-3.152209176461626683e+00,1.852541727942296212e+00,2.831537018782077197e+01,2.683796935157170083e+01,6.113039494438531563e+00,6.329742251634945660e+01,9.452529907764622763e+00,5.134311240809361010e+01,2.593178523183773265e+01
-3.152209176461626683e+00,2.105981085294863941e+00,2.447963682774561534e+01,1.650728701532443665e+01,6.426491217835950565e+00,5.810945868728776986e+01,1.151742784005647913e+01,5.635681811127447105e+01,3.122931629038987467e+01
-3.152209176461626683e+00,2.359420442647431670e+00,2.083760657489721524e+01,6.859028303338163823e+00,7.030224832562000259e+00,5.697021194841332203e+01,1.322186896105196929e+01,5.853000445922810968e+01,3.175515217225063935e+01
