dataset,method,n_windows,n_grid_points,rmse,mean_sd,rms_sd
tutorial_results_32,Fixed GP,18,625,12.266283566465589,6.043054203594055,6.053593581504089
tutorial_results_32,MAP GP,18,625,36.837696870794574,8.268589129477059,8.397731916439806
tutorial_results_32,HMC GP,18,625,35.96847090022,21.785374190929513,22.438239039255627
tutorial_results_16,Fixed GP,36,625,9.913803277177735,5.6741066705690075,5.674111875218209
tutorial_results_16,MAP GP,36,625,18.7401923220223,5.289748051869451,5.301381330392744
tutorial_results_16,HMC GP,36,625,20.8373411719581,9.834618099812404,9.891813340143376
tutorial_results_8,Fixed GP,72,625,15.807302172553678,5.355619054765143,5.35563177348965
tutorial_results_8,MAP GP,72,625,8.455709024352707,4.1512719847197435,4.162132418700507
tutorial_results_8,HMC GP,72,625,6.3103015575296295,5.576050411608021,5.6514995596840905
tutorial_results_quarter,Fixed GP,144,625,3.040909685979232,5.2728909326512206,5.272891414375525
tutorial_results_quarter,MAP GP,144,625,3.4925805890246027,4.175273279172136,4.177547782157653
tutorial_results_quarter,HMC GP,144,625,4.265357110802546,5.670394949856943,5.710215915943703
tutorial_results_half,Fixed GP,288,625,20.690111262381098,5.149135555947377,5.149135979902956
tutorial_results_half,MAP GP,288,625,2.856182569778445,2.842223691250527,2.8455778586978244
tutorial_results_half,HMC GP,288,625,3.5720866234445445,3.242735828626544,3.2884882121989585
tutorial_results,Fixed GP,576,625,20.146346959697574,5.096862744691707,5.09686312025677
tutorial_results,MAP GP,576,625,2.5861239177504567,2.746939203619628,2.748742006015594
tutorial_results,HMC GP,576,625,2.915883038921076,3.0487146859113157,3.1372536164655744
