theta_ell,theta_sd,theta_sf,theta_w
-1.260071984308961168e+00,-1.181257096460839096e+00,2.249055149860779590e+00,4.063663018079014755e+00
-1.181492053113875951e+00,1.340928692257552290e+00,2.188815290068831576e+00,4.400772371356064916e+00
-1.174657077291825003e+00,8.349455021485721051e-01,2.206915981639497648e+00,4.295445346995127700e+00
-1.425133940004880140e+00,-2.383380923520672656e-02,2.227758142073094305e+00,3.484535105158800050e+00
-1.223759230625663053e+00,-2.984844807407915912e-02,2.243145424433707902e+00,4.126121232585858500e+00
-1.270511533045788122e+00,-5.348795825662460562e-02,2.200067847984135572e+00,3.851678909278969165e+00
-1.349322757351176572e+00,-2.019862246494080527e+00,2.234289552599939999e+00,3.787548265290924476e+00
-1.294698867382720442e+00,-1.207458731097533100e+00,2.242573107621266271e+00,3.604438445537792912e+00
-1.320799161495509244e+00,-6.814230997703316639e-01,2.251291077044576205e+00,3.714756656151827485e+00
-1.221401640467972394e+00,7.854713323943177672e-01,2.190853658412835081e+00,3.946137000106915149e+00
-1.304444315142481159e+00,-1.426841889280843878e+00,2.197620849854901248e+00,3.925313551847634308e+00
-1.346591527094012308e+00,1.507129859486242562e-01,2.264282730352098039e+00,3.659109755755677540e+00
-1.314223190073467551e+00,2.272563330300648721e-01,2.268747878937950713e+00,3.438904673167851200e+00
-1.453390916093619589e+00,-1.821473621686196809e-01,2.312694573980542234e+00,3.473733730384892304e+00
-1.277523775749837887e+00,-1.278874482784762900e+00,2.284877450973282986e+00,3.534701141303755900e+00
-1.284597279855569152e+00,1.198282691557823743e+00,2.148935075830981756e+00,3.881997227998727595e+00
-1.299541457633754504e+00,2.144391049711686481e+00,2.140268128312980522e+00,4.066974565101611816e+00
-1.288063597683190453e+00,-5.222032019457605312e-01,2.255979133286054150e+00,3.868726830706557873e+00
-1.259499025430254049e+00,-1.267943415245756267e+00,2.256496972216752273e+00,3.832055713448024648e+00
-1.413686380340650084e+00,1.256094387041793325e+00,2.244971768758265096e+00,3.639706286241819466e+00
-1.292184879938545139e+00,-1.117456542764281080e+00,2.222106707208733045e+00,3.977351425836099796e+00
-1.362738765588245693e+00,-1.361661404689345600e+00,2.244739779461591311e+00,3.621290141349816860e+00
-1.305258608766354023e+00,-6.981636031558322575e-01,2.209658675507187642e+00,4.007488025997165693e+00
-1.307404486434166069e+00,-4.951531613451217173e-01,2.205654228724749810e+00,3.984899620630503847e+00
-1.306092440018583378e+00,5.586893643001742404e-01,2.286496615888118811e+00,3.925857449855619574e+00
-1.328519621682120677e+00,2.379343550219796821e-01,2.168667523133068986e+00,3.876544649090644779e+00
-1.349647170547304542e+00,7.884969177670175799e-01,2.178024629547647084e+00,3.928987478030079306e+00
-1.218134644858648086e+00,8.336260440978987551e-01,2.226907877264328928e+00,4.112685603596569983e+00
-1.345242750306368196e+00,-1.275938108517702396e+00,2.207329204899633357e+00,3.788373341812519168e+00
-1.227184594880722956e+00,-2.535142855083018620e+00,2.186946304878044423e+00,4.128637243016705760e+00
-1.217896994310436520e+00,-2.346434768065610577e+00,2.212050860562327692e+00,3.940085152815159475e+00
-1.265278853019429439e+00,-2.043564438977263364e+00,2.220037569510632025e+00,4.101612327640125066e+00
-1.310430332301023126e+00,-3.358188999169182676e-01,2.190095821710403179e+00,3.838684965468060373e+00
-1.319211761116253046e+00,-4.257606017576868740e-01,2.235929488899632833e+00,3.664822877073959706e+00
-1.364896371473911074e+00,-1.326654761186280673e+00,2.242344827788829154e+00,3.668454984029485111e+00
-1.361351816364415601e+00,-2.170361290488771466e+00,2.223433476348245730e+00,3.649030552009137729e+00
-1.233978415880131019e+00,-4.133160291533531927e-01,2.215863127875054239e+00,4.083587316058821415e+00
-1.258252400774188429e+00,-1.249476115591588443e-01,2.204921548586407543e+00,3.976753098205979331e+00
-1.324014293857043389e+00,8.750359538777319202e-02,2.243351774473785643e+00,3.685648464524058809e+00
-1.310004633985747402e+00,-7.597337247302153873e-01,2.270462298791460221e+00,3.849264552657290395e+00
-1.233713493386409121e+00,-2.857296898392092999e+00,2.158156760822040443e+00,4.195318825125789353e+00
-1.238502909997116985e+00,-2.673808221268171526e+00,2.158064402758957279e+00,4.022221568895120392e+00
-1.356242260551229428e+00,-3.495935462741861066e+00,2.253547853800531797e+00,3.796413663469718980e+00
-1.324506854166993763e+00,-3.218011589529480965e+00,2.225484590451451528e+00,3.680526091018758272e+00
-1.302292562428859490e+00,-4.655982555123062916e+00,2.285830923141825011e+00,3.834922766345719491e+00
-1.334974458106628514e+00,-3.667694508986413471e+00,2.229645710573665340e+00,3.484433371528170120e+00
-1.289734206230537472e+00,-5.787142848262512018e+00,2.239642369432528923e+00,4.048056971977366914e+00
-1.249343758119612735e+00,-4.919206183917775199e+00,2.236504589540669219e+00,3.731895826680081907e+00
-1.300039060839638605e+00,-3.921241852183766419e+00,2.211721854938005105e+00,3.766206822646779973e+00
-1.351619216535088208e+00,-2.259822830189166076e+00,2.266636103992726525e+00,3.528881827414694694e+00
-1.204572069874520368e+00,6.846880292276474878e-01,2.205455763047969420e+00,4.112520304012083905e+00
-1.208459826032179274e+00,1.730725292890962441e+00,2.176582804909201307e+00,4.144015966818663799e+00
-1.424763878501654313e+00,-2.179470879095016578e+00,2.294248981394352516e+00,3.404876143930119614e+00
-1.269430934150109547e+00,-1.073065775157062696e+00,2.328701706253321291e+00,3.654032308408074581e+00
-1.305986827051371257e+00,-9.895346967142042427e-01,2.303741296527913374e+00,3.797685100897805199e+00
-1.281754165883339347e+00,-9.025693848638478567e-01,2.312993070159412579e+00,3.575898670964956061e+00
-1.361720737055943431e+00,-3.061977894932985222e+00,2.214585775115835986e+00,3.621579778648911230e+00
-1.357776477869860221e+00,-2.695349915488213011e+00,2.212512944501462187e+00,3.501254512618281023e+00
-1.459940577930136429e+00,-3.485371031179016477e-01,2.241939235074242198e+00,3.442704193420003556e+00
-1.422409497856592653e+00,7.096258891954313475e-01,2.244487679437545680e+00,3.278354651846604906e+00
-1.343899182302376927e+00,2.720302506702740319e-01,2.249992216352920682e+00,3.782693159359639790e+00
-1.320131573213905618e+00,1.039491842289530288e+00,2.244817797900906076e+00,3.609487717711179933e+00
-1.295739796422482604e+00,7.565238819451290953e-01,2.189659195424937366e+00,3.796534286798828983e+00
-1.261085054950104922e+00,6.369783401610920048e-01,2.248744180355821687e+00,3.849275621554018922e+00
-1.244952369477820175e+00,8.130170132350160728e-01,2.263500122061352204e+00,3.864720333695581989e+00
-1.405432237745629420e+00,-7.415258364373188416e-01,2.210070567889309778e+00,3.615192544177045608e+00
-1.423213946990844914e+00,6.090360653686175407e-01,2.305357050762142812e+00,3.426410060226086518e+00
-1.327119772685871224e+00,-2.368602778547972409e+00,2.223005784090370529e+00,3.744955149949796169e+00
-1.373454166710822433e+00,4.914067014712599768e-01,2.262899158377461362e+00,3.568860458436267535e+00
-1.152327427032426632e+00,3.903930697847120962e-02,2.174997518509647954e+00,4.248007768309121523e+00
-1.263583728971277020e+00,9.813187092455597504e-01,2.147126017945698351e+00,4.261429175433933736e+00
-1.245892919076266203e+00,7.290359227128974107e-01,2.156323363871094134e+00,3.905496648414461536e+00
-1.300793017032993326e+00,-1.480835746201940140e+00,2.187717293009894259e+00,4.031036256185879019e+00
-1.391305035296556136e+00,-1.404244478776522698e+00,2.180326205651648142e+00,3.573912665532590793e+00
-1.406381267076968422e+00,3.025841313140301692e-01,2.246612647996055756e+00,3.428279676346266847e+00
-1.380892262665325942e+00,1.648027560193208174e+00,2.339242294500954333e+00,3.407986539528570447e+00
-1.407009167704685426e+00,-1.862559772285140136e+00,2.242305161635809174e+00,3.483071909324269910e+00
-1.223467762567536754e+00,1.749372203452244978e+00,2.247997506372829690e+00,3.972441307234555019e+00
