x,y,reference,fixed_mean,fixed_std,map_mean,map_std,hmc_mean,hmc_std
-3.152209176461626683e+00,-3.438167376461628066e+00,1.327078769550745818e+01,4.556304115896455187e+01,6.496587050921285744e+00,1.061523891654469480e+02,1.942124929858934834e+01,7.824775885672666220e+01,2.986404756859241161e+01
-3.152209176461626683e+00,-3.185942727442393707e+00,1.940189344668677407e+01,4.864711367472341408e+01,6.622382751215668328e+00,3.779815636460445205e+01,1.951373920579729315e+01,4.119742523900535502e+01,3.058387035887682970e+01
-3.152209176461626683e+00,-2.933718078423159348e+00,2.553299919786610062e+01,5.261131801832425481e+01,6.695315327739032263e+00,3.786170863192458569e+01,1.935305320833558085e+01,3.276753718529812431e+01,2.981386654752745358e+01
-3.152209176461626683e+00,-2.681493429403924544e+00,3.159312477506313499e+01,5.625639584339887733e+01,6.661836371855081929e+00,4.097005087471207219e+01,2.168454165337356798e+01,3.991665013283611785e+01,3.283512813734049729e+01
-3.152209176461626683e+00,-2.429268780384690185e+00,3.734152183545513992e+01,5.846391545613823837e+01,6.568707099518745096e+00,5.583359699082834737e+01,3.370639535190014158e+01,4.918050755517957384e+01,4.514883100965602125e+01
-3.152209176461626683e+00,-2.177044131365455826e+00,4.106748951675082537e+01,5.880532742454624895e+01,6.473543420641363788e+00,6.145568915073774718e+01,3.638905739069522127e+01,5.255218669726734504e+01,5.033349219399789831e+01
-3.152209176461626683e+00,-1.924819482346221244e+00,4.187093558799988102e+01,5.772658588016929571e+01,6.380269830292482069e+00,6.317220335763830974e+01,3.643651248199982007e+01,5.528088838685744122e+01,5.077930453013961909e+01
-3.152209176461626683e+00,-1.672594833326986663e+00,4.055727645641454160e+01,5.614804699427668311e+01,6.288108506449608726e+00,7.849434353680695153e+01,3.568855820324220929e+01,7.007693282363794651e+01,4.841417816653601136e+01
-3.152209176461626683e+00,-1.420370184307752304e+00,3.694637545140358270e+01,5.475452754527486832e+01,6.238107522984879694e+00,1.072162487276487468e+02,2.589191212099778383e+01,8.823727970045857205e+01,3.482532574208877918e+01
-3.152209176461626683e+00,-1.168145535288517944e+00,3.235872684566742663e+01,5.351295592123324241e+01,6.247656560190254282e+00,7.534144965319478615e+01,1.845542739153226819e+01,6.267850053321953396e+01,2.818197533965928514e+01
-3.152209176461626683e+00,-9.159208862692833630e-01,2.848907185095328387e+01,5.180521397657867055e+01,6.264909058943464615e+00,3.104999076945807701e+01,1.817283269984219984e+01,2.635238436877352441e+01,2.784562779060717830e+01
-3.152209176461626683e+00,-6.636962372500488927e-01,2.712332242194188225e+01,4.908922801278004044e+01,6.246865438568025120e+00,4.516130859366433015e+01,1.872288648191534932e+01,4.156040975690100936e+01,2.891158138773371533e+01
-3.152209176461626683e+00,-4.114715882308144224e-01,2.867438356353806128e+01,4.557185270280115219e+01,6.221524169307032004e+00,9.676918298955899900e+01,1.978181644617299639e+01,7.221943117264777356e+01,2.937668842598070640e+01
-3.152209176461626683e+00,-1.592469392115799520e-01,3.139256071181020147e+01,4.234294142081216705e+01,6.228750447926096001e+00,8.603162797493068581e+01,3.322292598210110270e+01,7.065820851064174235e+01,4.440033107747236585e+01
-3.152209176461626683e+00,9.297770980765451831e-02,3.352075343529384099e+01,4.081446184345031725e+01,6.252322300672432220e+00,6.718124674435436816e+01,3.637115494866052501e+01,6.029368207399929247e+01,5.054349420798018855e+01
