theta_ell,theta_sd,theta_sf,theta_w
-1.225123008605705888e+00,4.648467772833507761e-01,1.968651339653844090e+00,3.456842586938333017e+00
-1.165466577307494589e+00,-8.624977865047611658e-01,1.984478407452250570e+00,3.719809681734501883e+00
-1.153597676807020633e+00,-3.032406480732747323e+00,1.954653081020527594e+00,3.719119680323501154e+00
-1.256145321733717513e+00,4.439834500605588374e-03,1.954574829109576806e+00,3.396484277235404026e+00
-1.221309244183414355e+00,1.131017238432145078e+00,2.002538619721578428e+00,3.418458437819696716e+00
-1.235718863786577026e+00,1.302591125826567442e+00,2.008131114990080235e+00,3.457233514509248984e+00
-1.246186945712784988e+00,1.139483938828161680e+00,2.004989932220152316e+00,3.497978692901974274e+00
-1.263080906574529205e+00,6.230271993236341510e-01,1.942670949096509503e+00,3.281973492074987675e+00
-1.279235071474987384e+00,-6.886284892936193058e-01,1.995475128793221309e+00,3.334672160357625703e+00
-1.201718652080279393e+00,4.486672292848015164e-02,1.974129492803645691e+00,3.504979910978184510e+00
-1.128648793162301933e+00,2.445662648015382024e-01,1.955243796684748014e+00,3.803256445829568122e+00
-1.168455442662708288e+00,9.532393568258676342e-02,1.966495332609816460e+00,3.794760663795191835e+00
-1.241127879720735905e+00,6.741994150017166509e-02,1.941917405003987351e+00,3.341620793213570639e+00
-1.264560544658763108e+00,8.983791342143765402e-01,1.951023219797067831e+00,3.433921699975239328e+00
-1.182614570582573466e+00,-1.168283790121275700e+00,1.943181301050671994e+00,3.664003000561321777e+00
-1.147825598693998472e+00,-4.356733839246698103e-01,1.937246905596907487e+00,3.667024416969360434e+00
-1.172409479011157662e+00,-1.282818901588579141e+00,1.989875480596222213e+00,3.698201019862462413e+00
-1.236203017983008356e+00,-1.687834633449465604e+00,1.972133199132961812e+00,3.612515944520795053e+00
-1.276573974185353233e+00,1.416294069363812635e+00,1.932667816467654509e+00,3.304412463101209063e+00
-1.231104167231515500e+00,-1.463313285163006405e+00,1.850569850323279031e+00,3.662936352557963904e+00
-1.175651018300126305e+00,-2.798264976532123693e+00,1.969430644220639737e+00,3.544047014179298127e+00
-1.125892626330505575e+00,1.844415461276185386e+00,1.926693142840706141e+00,3.770855191396662143e+00
-1.209090649516418203e+00,-4.387233310820217724e-01,1.932225953850834177e+00,3.688931877002200821e+00
-1.169306290756335631e+00,1.437076658202648849e+00,2.000769618483698942e+00,3.562337156536460103e+00
-1.200544921181463165e+00,7.555324794128859267e-01,1.992883251123851895e+00,3.504355469499202069e+00
-1.235825438050625946e+00,1.424207199342802932e-01,1.998863714534705238e+00,3.602100281746754895e+00
-1.269676507450527625e+00,5.576967306132375457e-01,1.930537256182011552e+00,3.535609516930900309e+00
-1.224636630947411042e+00,-4.642942403053604283e-01,1.913245176365479860e+00,3.395980005081480346e+00
-1.207616497325534777e+00,1.741564731166367896e-01,1.933509282460566192e+00,3.399572675954817935e+00
-1.228924728485735196e+00,3.958518064624156896e-01,1.925053792383619289e+00,3.454401407690159242e+00
-1.204305867065876612e+00,5.991169201654539256e-02,1.904978681736875012e+00,3.293508230431355877e+00
-1.261636504098028633e+00,1.079758139072007683e+00,1.892579983127727461e+00,3.207675071582475113e+00
-1.197380040303717808e+00,-9.598588163393911854e-01,2.040718224888835142e+00,3.756328976459244906e+00
-1.097374315986727744e+00,-6.769269361332502788e-02,2.026516490594977071e+00,3.567649759672738341e+00
-1.177127323065989994e+00,-2.146976289436500762e-01,1.985376885686747528e+00,3.750248594568002414e+00
-1.223552617951851440e+00,-3.278675925917046818e+00,1.932073368586795237e+00,3.609633043175713318e+00
-1.246706976152093915e+00,-5.556884341270882377e-01,1.992589618652315542e+00,3.465583704042291657e+00
-1.215419952830491424e+00,5.374414546659351810e-01,1.990923315869688848e+00,3.549259832830355510e+00
-1.215677825012636770e+00,-1.174046213558765483e+00,1.977699062953099718e+00,3.467830221502634647e+00
-1.245478635384023480e+00,-2.888904547345183538e-02,1.958396967852236159e+00,3.466302759605313977e+00
-1.248218535323365685e+00,-2.500741947120061148e+00,1.890047660375687055e+00,3.443321680618673497e+00
-1.290919429416378161e+00,1.254003047393254411e+00,1.960313242006827661e+00,3.340771982912421389e+00
-1.280789503047476963e+00,1.148961298287229260e+00,1.943447327852911410e+00,3.286608848127082094e+00
-1.246092823168375663e+00,1.495121965221466453e+00,1.941333031453269076e+00,3.324731136295589806e+00
-1.243050612399416055e+00,1.594389050899276405e-01,1.925894840513870498e+00,3.599376481916410686e+00
-1.244150168561588554e+00,-1.918296700108626518e-01,1.962882573361518501e+00,3.397514016287407568e+00
-1.162371921372376660e+00,-1.146280314259557009e+00,1.957237256345522480e+00,3.875397514861128823e+00
-1.128998358070136820e+00,-6.023629392079443701e-01,1.966952202769859603e+00,3.621003114732905814e+00
-1.305237532491272390e+00,9.212157178601698693e-01,1.917913390285964637e+00,3.259465444016519164e+00
-1.201030585778656068e+00,-3.180116905501348401e-01,1.964383812619824532e+00,3.610339309233121519e+00
-1.263537076587698760e+00,-2.170900953932195510e-01,2.007789127142488361e+00,3.204607690275698140e+00
-1.267143852271814808e+00,-1.686880670080764588e+00,2.017030416234668611e+00,3.331216408500736303e+00
-1.299849836977131634e+00,-7.262918576456794950e-01,1.914466862090793198e+00,3.305393228096789482e+00
-1.265407552923183854e+00,-1.088819395645109767e+00,1.927765977722992741e+00,3.411218724879143682e+00
-1.225890390230346183e+00,1.011905010647815129e+00,1.933953140562594486e+00,3.350272819070892805e+00
-1.204500832785161402e+00,-1.117419746437137817e+00,1.895734421718576757e+00,3.443093667135597169e+00
-1.340713110398462860e+00,-1.031198087228875737e+00,1.951296394339135265e+00,3.360056515215572137e+00
-1.221394346011715371e+00,-7.640177276169851650e-02,1.986683002810083920e+00,3.686180371190520333e+00
-1.216240844794997500e+00,3.413224070836554103e-02,1.938440754951017420e+00,3.323429893014932635e+00
-1.249378715549986918e+00,-5.862904680411104019e-01,1.928890679494756677e+00,3.237459078382146860e+00
-1.244943768765550463e+00,6.970702033374106543e-01,1.884909633370018378e+00,3.534429894351090340e+00
-1.316904150751223579e+00,1.457458426501229365e+00,1.943572991892973612e+00,3.338908375877204904e+00
-1.282278353470443166e+00,1.218837961425732086e+00,1.956544963473809462e+00,3.221830390872450156e+00
-1.210987964956257823e+00,-6.166543957454404534e-01,1.987525350429474091e+00,3.446308815475166210e+00
-1.249799957287579755e+00,3.792641191644922083e-01,1.909410285714930877e+00,3.489719342734071805e+00
-1.171132401738162354e+00,-4.151084348203861296e+00,1.992908987928628584e+00,3.631567328274024842e+00
-1.260043488199626749e+00,-2.544991785521189875e+00,1.911743023595276592e+00,3.463939614869789629e+00
-1.227876114534933061e+00,-1.080374030332878377e+00,2.012968445021858788e+00,3.457796281429066809e+00
-1.236852129744337114e+00,-2.025078263348333962e+00,1.874476280158148489e+00,3.568300442227150260e+00
-1.200340130085929546e+00,-2.835595081894262570e+00,1.941650548202171533e+00,3.551714528424692485e+00
-1.202799486710462551e+00,-1.331930802684185844e+00,1.949683942368354517e+00,3.589728723442412228e+00
-1.285730222170639925e+00,-8.669536117326417379e-01,1.942317357781147669e+00,3.397392985328685278e+00
-1.282821905622443914e+00,-2.070087274689145662e+00,1.905104349289861831e+00,3.237311261531297113e+00
-1.179577298174559363e+00,-1.351312247076258188e+00,1.941696193492793210e+00,3.432915387304062982e+00
-1.266803034292790064e+00,-1.843899729750279270e+00,1.949725412921772483e+00,3.650300991438858222e+00
-1.208533027986761432e+00,-1.286157438881140980e+00,1.947887680755338913e+00,3.593023185933421182e+00
-1.272688523487019108e+00,1.207883762745799894e+00,1.941233920606228569e+00,3.471001458357136027e+00
-1.131285530136717954e+00,-2.362746569998236179e+00,1.943298480144814988e+00,3.867967581687220768e+00
-1.175059912388675798e+00,1.427047402190151359e-01,1.980020791684813597e+00,3.588142091337148010e+00
-1.182693610540765494e+00,9.567762313160264043e-01,1.940441375203058483e+00,3.542695782671078319e+00
-1.292731457597477096e+00,-9.064519667723465179e-01,1.944899031207542484e+00,3.380693799134668165e+00
-1.226102034160101217e+00,-1.325453706630355111e+00,1.907260561371269203e+00,3.606123136843760513e+00
-1.262586221736089254e+00,7.497810506649810192e-01,1.999156322602998692e+00,3.395408102327160282e+00
-1.168492119419408892e+00,-6.614697980843428082e-01,1.909921698386444433e+00,3.691368131260734486e+00
-1.277483543647616404e+00,-1.651667371161414488e+00,2.031770927414095151e+00,3.372964200559957160e+00
-1.285789285771418156e+00,2.068880636405932449e+00,2.025717945531869013e+00,3.355983032278889056e+00
-1.291574284114890947e+00,6.254512089651380613e-01,2.021029785090042719e+00,3.285320605269352878e+00
-1.289432225111216690e+00,2.953190483945115630e-01,2.019423709941956968e+00,3.263389526998957013e+00
-1.253210651887786575e+00,-1.044041000814924791e+00,1.917106344746608793e+00,3.349570176616629702e+00
-1.265453303467529489e+00,3.781844500059060588e-01,2.007181549067099446e+00,3.284365281973696149e+00
-1.145250626651192816e+00,-2.513646853495432154e+00,1.938892619953449747e+00,3.732173810691833626e+00
-1.271400136406945824e+00,2.710039780754018857e-01,1.947170386414277754e+00,3.279473250975173837e+00
-1.286769898818332258e+00,-2.549158990106269229e+00,1.942843173815949731e+00,3.429786376007748494e+00
-1.229688690860217148e+00,-1.003165322172238749e+00,1.967898938522959051e+00,3.502615972213795281e+00
-1.224317943270622155e+00,1.419547263651379065e+00,1.887139438864581020e+00,3.648409692592641917e+00
-1.242476428816146949e+00,-1.788188537143003520e+00,2.011831405027462605e+00,3.268996018071854692e+00
-1.147127028832455764e+00,-3.434870097227372021e+00,1.930350783747076804e+00,3.646446922293078874e+00
-1.204018632188901261e+00,-3.104027438027279651e+00,1.921176911551766731e+00,3.508130562869502533e+00
-1.109196246865614688e+00,9.567410538505674023e-01,1.956493495028206908e+00,3.777290939765149957e+00
-1.109292436977176388e+00,5.926010148224166718e-01,1.940782747140910258e+00,3.967117808913461552e+00
-1.138069225521214145e+00,-7.260438001950080267e-01,1.998712523464697632e+00,3.847759761915523935e+00
-1.209580262341583223e+00,7.821196874199767279e-01,1.944348570793142050e+00,3.338211289647493363e+00
-1.198898178048385832e+00,4.684863055200803594e-01,1.951226094653884413e+00,3.295936660696720200e+00
-1.210722863771614977e+00,1.456345378157253290e-01,1.947947489626740802e+00,3.343174847897932178e+00
-1.219367869958073447e+00,3.301688264906195158e-01,1.919141330176136417e+00,3.425395633413804042e+00
