x,y,reference,fixed_mean,fixed_std,map_mean,map_std,hmc_mean,hmc_std
-3.152209176461626683e+00,-3.469684776461626541e+00,1.343529269912403734e+01,2.379586592491432384e+01,6.100452553927377508e+00,1.976788873126761814e+01,9.310234443533179416e+00,4.083877687564647374e+01,2.032990787470431826e+01
-3.152209176461626683e+00,-3.216245419109058812e+00,1.959592572005065847e+01,2.951279575133503386e+01,6.112100932454518798e+00,1.861901924491129989e+01,9.465683411620890553e+00,4.123090837876915771e+01,2.047003252942803897e+01
-3.152209176461626683e+00,-2.962806061756491083e+00,2.575655874097727249e+01,3.470072004441135505e+01,6.128203106441228343e+00,2.096074637403737029e+01,9.634604713438175594e+00,4.670119087212822251e+01,1.994988196587806328e+01
-3.152209176461626683e+00,-2.709366704403923354e+00,3.183681718621462764e+01,3.869293443479909911e+01,6.128984950310050195e+00,2.513345923610604871e+01,9.242946694014632314e+00,5.161558996250374065e+01,2.102538418130104247e+01
-3.152209176461626683e+00,-2.455927347051355625e+00,3.774358008511518392e+01,4.093667341836953710e+01,6.124474127093831655e+00,3.200231918187738955e+01,9.864872042184344991e+00,5.615132092645445994e+01,2.906552468975072756e+01
-3.152209176461626683e+00,-2.202487989698787896e+00,4.170362867885911839e+01,4.135551929190751252e+01,6.123944299192944918e+00,4.349641089932558202e+01,1.158218554387094024e+01,6.042250794259179258e+01,3.365112224231712901e+01
-3.152209176461626683e+00,-1.949048632346220167e+00,4.284523340635604427e+01,4.052412364041083492e+01,6.104924907993812155e+00,5.957739177708043599e+01,1.195600923952000372e+01,6.289951978744563377e+01,3.405551885064831197e+01
-3.152209176461626683e+00,-1.695609274993652438e+00,4.165295997916460635e+01,3.939505151091543667e+01,6.055282645501385730e+00,7.567143536162615192e+01,1.042081159658476608e+01,6.575460001648782793e+01,3.171694883659503361e+01
-3.152209176461626683e+00,-1.442169917641084709e+00,3.822241886389312526e+01,3.868907374952232203e+01,6.007413277345055036e+00,8.457880823393837488e+01,8.570759282196974027e+00,6.881665006518494465e+01,2.240886839630627136e+01
-3.152209176461626683e+00,-1.188730560288516980e+00,3.370193005955091792e+01,3.841396353871823521e+01,5.990121633145274238e+00,8.439775917460825383e+01,8.054719846986079901e+00,6.754895876188358272e+01,1.914352239258792565e+01
