x,y,reference,fixed_mean,fixed_std,map_mean,map_std,hmc_mean,hmc_std
-3.152209176461626683e+00,-3.469684776461626541e+00,1.354922521087631893e+01,2.951382705994183198e+01,5.338726230359947422e+00,1.385825958785812873e+01,4.709788539641867722e+00,7.188874884630500617e+00,7.716601204979937734e+00
-3.152209176461626683e+00,-3.193298003423157727e+00,2.026766664915473015e+01,3.741816836979342042e+01,5.355420382469350926e+00,1.441872728550123384e+01,4.370940903493989005e+00,7.456145414055054488e+00,7.067374393692894330e+00
-3.152209176461626683e+00,-2.916911230384688469e+00,2.698610808743315204e+01,4.292005387261815486e+01,5.362955105886307194e+00,1.982083269630726363e+01,4.487197023588484157e+00,1.292147265826741176e+01,6.741753360278056384e+00
-3.152209176461626683e+00,-2.640524457346219656e+00,3.365310151933848459e+01,4.911999267821011017e+01,5.361588861460049316e+00,3.140577565224444356e+01,4.315778686581910328e+00,2.217391055531211563e+01,6.099817690534890424e+00
-3.152209176461626683e+00,-2.364137684307750398e+00,3.967748110158314034e+01,5.591909252296500199e+01,5.359377436823460350e+00,4.523070167962725918e+01,4.194826428014953201e+00,3.210793006016809414e+01,5.915776097399366051e+00
-3.152209176461626683e+00,-2.087750911269281584e+00,4.261222989130078531e+01,6.053981569850111555e+01,5.357981240714869919e+00,5.381940264807269614e+01,4.247323235232697058e+00,3.865501902850408555e+01,6.240726681618531835e+00
-3.152209176461626683e+00,-1.811364138230812770e+00,4.259703789756655112e+01,6.044326028704381315e+01,5.356582278829001176e+00,5.333384630224509237e+01,4.235579019174751103e+00,3.940912691399329049e+01,6.046304186262794644e+00
-3.152209176461626683e+00,-1.534977365192343735e+00,3.973036815599667193e+01,5.581433249415567843e+01,5.355538609573561537e+00,4.723039292502107855e+01,4.130748253947392534e+00,3.633547390742494088e+01,5.543006371917377884e+00
-3.152209176461626683e+00,-1.258590592153874699e+00,3.521601279990309763e+01,4.951669026684612618e+01,5.355690619324130708e+00,4.178079409483120799e+01,4.138017026465739434e+00,3.350079450692546601e+01,5.536917133993390472e+00
-3.152209176461626683e+00,-9.822038191154056630e-01,3.031926168519055054e+01,4.489807268524600659e+01,5.356391804940098034e+00,3.991255849826654867e+01,4.219293196709778648e+00,3.244115105879436101e+01,5.896036613402875659e+00
-3.152209176461626683e+00,-7.058170460769367383e-01,2.819588205922309854e+01,4.353205285330841434e+01,5.356343988634961306e+00,4.049721740105405843e+01,4.181791314189939435e+00,3.288199814698904788e+01,5.736339582788378522e+00
-3.152209176461626683e+00,-4.294302730384677580e-01,2.954375831215489612e+01,4.462154332984937355e+01,5.355684499162739698e+00,4.147593442070058245e+01,4.102330101485146763e+00,3.431095859093899492e+01,5.696347401959522827e+00
-3.152209176461626683e+00,-1.530434999999996659e-01,3.251322908269564493e+01,4.616960525581453112e+01,5.355358949155028192e+00,4.172879007894479741e+01,4.140949955767713853e+00,3.547701182530357755e+01,5.961620623074957770e+00
-3.152209176461626683e+00,1.233432730384693143e-01,3.456948141582279277e+01,4.670362319046762423e+01,5.355383137564251328e+00,4.095715972384221004e+01,4.203035729643135987e+00,3.540362277861167684e+01,6.088298124572016690e+00
-3.152209176461626683e+00,3.997300460769382946e-01,3.502220591140910244e+01,4.616945284784014802e+01,5.355491666130983930e+00,3.957232835278750827e+01,4.148603321787811993e+00,3.447775666269622263e+01,5.654593857160917558e+00
-3.152209176461626683e+00,6.761168191154072193e-01,3.463579243603027180e+01,4.546938335635786643e+01,5.355879446622591189e+00,3.858811387101900436e+01,4.110323261934412109e+00,3.359785093621668750e+01,5.685307462025900094e+00
-3.152209176461626683e+00,9.525035921538762551e-01,3.266866829370768954e+01,4.527833800554071786e+01,5.356436195044626203e+00,3.843020379878714721e+01,4.197219079718347068e+00,3.236264434696330738e+01,6.026248593478991111e+00
-3.152209176461626683e+00,1.228890365192345291e+00,3.228590313027838477e+01,4.531305779596732464e+01,5.356657066924853439e+00,3.781328723860974605e+01,4.251115554956608200e+00,3.041555316595119862e+01,6.288455472066329044e+00
-3.152209176461626683e+00,1.505277138230814327e+00,3.188566253613612744e+01,4.465841371411079308e+01,5.356677749527741561e+00,3.482833186826326255e+01,4.171146383109713085e+00,2.774391158777076782e+01,6.084715311707650010e+00
-3.152209176461626683e+00,1.781663911269283140e+00,2.930908483285712762e+01,4.263206351287226425e+01,5.357374587234070340e+00,2.929761112884386876e+01,4.166052013106251728e+00,2.405896389101003408e+01,6.284905637581897686e+00
-3.152209176461626683e+00,2.058050684307752398e+00,2.539932441283341191e+01,3.920298069799900986e+01,5.358390483052033915e+00,2.331124552035220177e+01,4.302053700024747407e+00,1.971628307421570270e+01,6.871274692486072588e+00
