x,y,reference,fixed_mean,fixed_std,map_mean,map_std,hmc_mean,hmc_std
-3.186000876461628550e+00,-3.492579776461628427e+00,1.478090101656249189e+01,1.334124586384859867e+01,5.256931346898102930e+00,9.160029515048790927e+00,4.892414930381249860e+00,8.391692950367431791e+00,8.479455223176502798e+00
-3.186000876461628550e+00,-3.215239045089826053e+00,2.156781674236976443e+01,2.237607210289570503e+01,5.268143935192628469e+00,1.604036309085995526e+01,4.254706807202697227e+00,1.067687644068221076e+01,7.181211081700224597e+00
-3.186000876461628550e+00,-2.937898313718023680e+00,2.835473246817704052e+01,2.842145566674298607e+01,5.273266358590234404e+00,2.315605092865689585e+01,4.222319805158216255e+00,1.772583532945817097e+01,6.704623935188803507e+00
-3.186000876461628550e+00,-2.660557582346221306e+00,3.506847004624250275e+01,3.334074879920808598e+01,5.273079556418116098e+00,2.929980187498790656e+01,4.192198349608861285e+00,2.660101522255639495e+01,6.463267498890999718e+00
-3.186000876461628550e+00,-2.383216850974418932e+00,4.128819806201398990e+01,3.802960719424299896e+01,5.272771763444815463e+00,3.466161406646415344e+01,4.180946997821669342e+00,3.433960524353835808e+01,6.347613347309803089e+00
-3.186000876461628550e+00,-2.105876119602616559e+00,4.449373201501379782e+01,4.185314786303206347e+01,5.272564082315053469e+00,3.899060624986395851e+01,4.172082189678598674e+00,3.908619023789690061e+01,6.223171052011436721e+00
-3.186000876461628550e+00,-1.828535388230814185e+00,4.467414864654742956e+01,4.311365186727198306e+01,5.272349040645688767e+00,4.076407862207486232e+01,4.167871020197503107e+00,3.978202537846727438e+01,6.108089330082518309e+00
-3.186000876461628550e+00,-1.551194656859011811e+00,4.183722841993275665e+01,4.058872385633731028e+01,5.272254113406212639e+00,3.866375030459545314e+01,4.162623662730374541e+00,3.694307588218953242e+01,5.992918828796616637e+00
-3.186000876461628550e+00,-1.273853925487209438e+00,3.735680300492528971e+01,3.515844580508201034e+01,5.272208649751457976e+00,3.347592804181658721e+01,4.158505078956535428e+00,3.307936051017897938e+01,5.909420320822399653e+00
-3.186000876461628550e+00,-9.965131941154070638e-01,3.227463938297544388e+01,2.980596458559466555e+01,5.272083961477276759e+00,2.821341701494964127e+01,4.155643406743293689e+00,3.066028888427501187e+01,5.852630860644020494e+00
-3.186000876461628550e+00,-7.191724627436046902e-01,2.987514183750486296e+01,2.744067425069715682e+01,5.271995666967686844e+00,2.617532606663303341e+01,4.154650519229326378e+00,3.058376752441770918e+01,5.872047258019429172e+00
-3.186000876461628550e+00,-4.418317313718023165e-01,3.118515123299932412e+01,2.844660835192644299e+01,5.272035936318171245e+00,2.812652857678199325e+01,4.156057133029751327e+00,3.286121079955853475e+01,5.912126596005011336e+00
-3.186000876461628550e+00,-1.644910000000003869e-01,3.435418623245836756e+01,3.059256668760644970e+01,5.272138681856751496e+00,3.124268843066255386e+01,4.154144759601717141e+00,3.637305304980125698e+01,6.018575810456077591e+00
-3.186000876461628550e+00,1.128497313718019868e-01,3.683952311522550360e+01,3.148282512801870325e+01,5.272176332344916005e+00,3.209403716588983002e+01,4.155791678908456355e+00,3.840028094247789880e+01,6.199400864283094670e+00
-3.186000876461628550e+00,3.901904627436043604e-01,3.738434192655537203e+01,3.081186642000284337e+01,5.272145575340069001e+00,3.069156549162621417e+01,4.156371596281431380e+00,3.746654431500331839e+01,6.088662868568578190e+00
-3.186000876461628550e+00,6.675311941154067341e-01,3.707823064598619567e+01,3.002562238087466540e+01,5.272132600405992520e+00,2.968725317425997901e+01,4.159084782189026441e+00,3.529334911348280457e+01,6.034917442503381579e+00
-3.186000876461628550e+00,9.448719254872091078e-01,3.481508598122947973e+01,3.016841267047675501e+01,5.272178526562201206e+00,2.991345932449701195e+01,4.159335517216343980e+00,3.369929346637228207e+01,6.093070508095522975e+00
-3.186000876461628550e+00,1.222212656859011481e+00,3.420444402756110946e+01,3.062367538557009539e+01,5.272353982222032442e+00,2.958556740018434539e+01,4.163878964610662869e+00,3.230941987503643986e+01,6.104027502191694765e+00
-3.186000876461628550e+00,1.499553388230813855e+00,3.378272473965721900e+01,2.994486526600303478e+01,5.272604593540836326e+00,2.778613488187829716e+01,4.168374037336237237e+00,3.048862568310843457e+01,6.061761756942113166e+00
-3.186000876461628550e+00,1.776894119602616229e+00,3.118923198256881690e+01,2.740956292604460032e+01,5.272546976025973109e+00,2.548473206575567929e+01,4.173507698891561368e+00,2.840629852283565526e+01,6.113991147518728297e+00
-3.186000876461628550e+00,2.054234850974418602e+00,2.724742163328088651e+01,2.356703176855808124e+01,5.272201593222672678e+00,2.289340752896924869e+01,4.175094398501980386e+00,2.577114965433725047e+01,6.183730590658685244e+00
-3.186000876461628550e+00,2.331575582346220976e+00,2.307182141416260990e+01,1.969586874124797760e+01,5.272615085086640008e+00,1.904868448818544380e+01,4.187981162956651460e+00,2.215581468337002491e+01,6.317561259374508964e+00
-3.186000876461628550e+00,2.608916313718023350e+00,2.047295542668243939e+01,1.714297319458273705e+01,5.274278184501340228e+00,1.500018520850414916e+01,4.220237125840242243e+00,1.883271665537938233e+01,6.502114567509964083e+00
-3.186000876461628550e+00,2.886257045089825723e+00,2.014859514838719790e+01,1.694621228595497087e+01,5.270358225796122120e+00,1.491838036564297454e+01,4.248377853192590869e+00,1.835856895880413475e+01,6.937448711852979066e+00
-3.186000876461628550e+00,3.163597776461628097e+00,2.306162357982371702e+01,1.940089950537367258e+01,5.254977212716778645e+00,2.215237151860867471e+01,4.688868058165264863e+00,2.176863605968789628e+01,8.298176377807983783e+00
-2.913081024256492846e+00,-3.492579776461628427e+00,5.385592320265279120e+00,6.956047562940511853e+00,5.266721306457194274e+00,5.019155265835706814e+00,4.604410062010597215e+00,2.200302485467563685e+00,7.548218156899090481e+00
-2.913081024256492846e+00,-3.215239045089826053e+00,1.180675925523104297e+01,1.357325252317241393e+01,5.276551503714046909e+00,8.051512878638277471e+00,4.233489890750236739e+00,2.838935897768767092e+00,6.763834934019389955e+00
-2.913081024256492846e+00,-2.937898313718023680e+00,1.822792619019680771e+01,1.860474153546965681e+01,5.276385183401043122e+00,1.349497667428204295e+01,4.221417950037406719e+00,9.380657320832458623e+00,6.333840831758136503e+00
-2.913081024256492846e+00,-2.660557582346221306e+00,2.467428108763665762e+01,2.391252148392959498e+01,5.275328538156035307e+00,2.026120433347887229e+01,4.189008727590230130e+00,1.862191964769117902e+01,6.011087592379405820e+00
-2.913081024256492846e+00,-2.383216850974418932e+00,3.027111380380587491e+01,2.921438533300533891e+01,5.275597755577653203e+00,2.678313441557543229e+01,4.182351740152128627e+00,2.709629891897974829e+01,5.876563984851046030e+00
-2.913081024256492846e+00,-2.105876119602616559e+00,3.352495243900852273e+01,3.283399398441542871e+01,5.275649612411419831e+00,3.091669551730853982e+01,4.175408160836724392e+00,3.236809259943402139e+01,5.803953145544553216e+00
-2.913081024256492846e+00,-1.828535388230814185e+00,3.394010871717183875e+01,3.321646123207756318e+01,5.275338265827088868e+00,3.116954335232352946e+01,4.169722476126026756e+00,3.295772307936433521e+01,5.712346728686361175e+00
-2.913081024256492846e+00,-1.551194656859011811e+00,3.174893037920923433e+01,3.020166515048913425e+01,5.275171432101693370e+00,2.802428255758130149e+01,4.164409927541889545e+00,2.957075640792128368e+01,5.640474447163501992e+00
-2.913081024256492846e+00,-1.273853925487209438e+00,2.758457047532210638e+01,2.542027163909551746e+01,5.275144392697104223e+00,2.352013411380340813e+01,4.160854141060513989e+00,2.506641741316106931e+01,5.609814850191245483e+00
-2.913081024256492846e+00,-9.965131941154070638e-01,2.335768462745495455e+01,2.143748414514084288e+01,5.275017189904834147e+00,1.980973519825840867e+01,4.158437481640479660e+00,2.174175019733243630e+01,5.541568547341459094e+00
-2.913081024256492846e+00,-7.191724627436046902e-01,2.143146175197928827e+01,1.996540103526967869e+01,5.274887845444587775e+00,1.835136584632743961e+01,4.156894297768673141e+00,2.028243095026624232e+01,5.539243478396231879e+00
-2.913081024256492846e+00,-4.418317313718023165e-01,2.208987412451925891e+01,2.057308460146668949e+01,5.274884363031479673e+00,1.930166482604010980e+01,4.157663798642969866e+00,2.113280358124515246e+01,5.554754852222049344e+00
-2.913081024256492846e+00,-1.644910000000003869e-01,2.339863484980476471e+01,2.133065825927769765e+01,5.274952685005014352e+00,2.089503832166309394e+01,4.155296851021385685e+00,2.386576027230399433e+01,5.480638690558211401e+00
-2.913081024256492846e+00,1.128497313718019868e-01,2.354106857109896467e+01,2.093069997287238948e+01,5.274984578169454430e+00,2.086171215077422403e+01,4.156883465272860789e+00,2.591228142816837732e+01,5.628335523509846894e+00
-2.913081024256492846e+00,3.901904627436043604e-01,2.311141291311956891e+01,1.999907215355051449e+01,5.274990060877715159e+00,1.937745151414969769e+01,4.157208873199549792e+00,2.534782394999817257e+01,5.575234556555940024e+00
-2.913081024256492846e+00,6.675311941154067341e-01,2.312461790213849611e+01,2.009664181846528663e+01,5.275004536658860488e+00,1.891065902373611607e+01,4.160487409908414591e+00,2.359170392895011048e+01,5.555958268545968970e+00
-2.913081024256492846e+00,9.448719254872091078e-01,2.283049238690787064e+01,2.164164409515979060e+01,5.274994120466335090e+00,2.037931688273829423e+01,4.160934171739453902e+00,2.266224246288260247e+01,5.594162583956264534e+00
-2.913081024256492846e+00,1.222212656859011481e+00,2.371284815161079251e+01,2.321932014152480406e+01,5.275068121866495652e+00,2.162567937546077701e+01,4.165941842155819863e+00,2.218220897245631562e+01,5.683440900459431511e+00
-2.913081024256492846e+00,1.499553388230813855e+00,2.384782103184843649e+01,2.295162575702852337e+01,5.275388266097128742e+00,2.061925520833801784e+01,4.170686788125977706e+00,2.085263678295650536e+01,5.727380221364119173e+00
-2.913081024256492846e+00,1.776894119602616229e+00,2.150467250476214076e+01,2.021944248060026439e+01,5.275591111630026475e+00,1.788794643261917372e+01,4.177487447039133883e+00,1.842696920988979059e+01,5.790198357820253605e+00
-2.913081024256492846e+00,2.054234850974418602e+00,1.788652398048551007e+01,1.599661791825928958e+01,5.275208310647371057e+00,1.465297325004905815e+01,4.178056336282364391e+00,1.526841247844199145e+01,5.824209156071838756e+00
-2.913081024256492846e+00,2.331575582346220976e+00,1.391738910869836232e+01,1.193298541520198341e+01,5.275037961223886462e+00,1.093317637065547387e+01,4.186098580886944198e+00,1.185497949112217952e+01,5.961352570973878606e+00
-2.913081024256492846e+00,2.608916313718023350e+00,1.133745241871839227e+01,9.439890661626122892e+00,5.276962700533418982e+00,7.530903240249472219e+00,4.218282103913375991e+00,9.650233340117960523e+00,6.169473623456672051e+00
