# phi,psi,free_energy_kJ_per_mol
-3.054326190990076739e+00,-3.054326190990076739e+00,1.611318364952016680e+01
-2.879793265790643986e+00,-3.054326190990076739e+00,9.735256085451643671e+00
-2.705260340591210788e+00,-3.054326190990076739e+00,6.423582511024548580e+00
-2.530727415391777591e+00,-3.054326190990076739e+00,5.093054710766249826e+00
-2.356194490192344837e+00,-3.054326190990076739e+00,5.240698992199148698e+00
-2.181661564992912083e+00,-3.054326190990076739e+00,6.431559201392311742e+00
-2.007128639793479330e+00,-3.054326190990076739e+00,7.017986260367184315e+00
-1.832595714594046132e+00,-3.054326190990076739e+00,6.824148124266980808e+00
-1.658062789394612935e+00,-3.054326190990076739e+00,6.333597192036523715e+00
-1.483529864195180181e+00,-3.054326190990076739e+00,5.918375840161223422e+00
-1.308996938995746984e+00,-3.054326190990076739e+00,6.551130950270014353e+00
-1.134464013796314230e+00,-3.054326190990076739e+00,9.210562705587690857e+00
-9.599310885968812546e-01,-3.054326190990076739e+00,1.496446676400417175e+01
-7.853981633974482790e-01,-3.054326190990076739e+00,2.352825911623499167e+01
-6.108652381980153034e-01,-3.054326190990076739e+00,3.408222348149634939e+01
-4.363323129985823279e-01,-3.054326190990076739e+00,4.513888481003218089e+01
-2.617993877991495744e-01,-3.054326190990076739e+00,5.555396425477204048e+01
-8.726646259971659880e-02,-3.054326190990076739e+00,6.092051362464253828e+01
8.726646259971637676e-02,-3.054326190990076739e+00,5.771785928395965470e+01
2.617993877991493523e-01,-3.054326190990076739e+00,4.756799563460009495e+01
4.363323129985823279e-01,-3.054326190990076739e+00,3.657205077805389948e+01
6.108652381980153034e-01,-3.054326190990076739e+00,2.552711473381206986e+01
7.853981633974482790e-01,-3.054326190990076739e+00,1.748805211617626298e+01
9.599310885968810325e-01,-3.054326190990076739e+00,1.371437009472020208e+01
1.134464013796313786e+00,-3.054326190990076739e+00,1.497740773958165938e+01
1.308996938995746984e+00,-3.054326190990076739e+00,2.047614202039659403e+01
1.483529864195180181e+00,-3.054326190990076739e+00,2.926938025599320170e+01
1.658062789394612935e+00,-3.054326190990076739e+00,3.930972718650141218e+01
