window_count,trajectory_fraction,replicate_count,flagged_replicates,cell_max_r_hat,cell_min_effective_sample_size
3,0.1,5,4,1.0170933674100577,144.96234839745995
3,0.16,5,1,1.0232662209889924,103.4854196904171
3,0.8,5,3,1.025874575738357,112.10383266747212
3,0.9,5,3,1.0166532238309698,100.61992681267837
3,1.0,5,2,1.0190581831708119,105.13812688229117
4,0.063,5,1,1.0184887824655764,129.5914745284059
4,0.1,5,2,1.0115805012307575,108.54238119070463
4,0.16,5,1,1.0186004679894736,106.79057666662132
4,0.25,5,4,1.0136494809681793,180.6037684797182
4,0.6,5,1,1.02870400209742,100.70596115465005
4,0.8,5,2,1.0238160192844479,110.8996429307916
4,0.9,5,2,1.0267236858425084,109.76577529497503
4,1.0,5,3,1.0184968586532654,103.66026440247803
6,0.063,5,2,1.0212041057633394,111.6640769852174
6,0.1,5,3,1.0094243919608892,195.42317684650297
6,0.16,5,1,1.024683522320848,103.41731307261466
6,0.25,5,1,1.0232458011664782,100.37791192611138
6,0.4,5,2,1.046517950943694,101.80679735569461
6,0.6,5,1,1.0404790766179755,101.26360327755721
6,0.8,5,3,1.0210087856088053,112.44275582379342
6,0.9,5,4,1.033851632213367,143.28185926048718
6,1.0,5,3,1.0121504025563213,168.74733275889338
8,0.04,5,3,1.0421605871404913,108.94748160736923
8,0.063,5,1,1.01861564705155,111.83303432635587
8,0.1,5,1,1.0306446353060388,121.0057929282546
8,0.16,5,4,1.0098101459618591,199.01091919735794
8,0.4,5,4,1.01464377522273,118.52601653635915
8,0.6,5,3,1.03579809842531,113.01319254434723
8,0.8,5,3,1.010988197126911,114.98045574144949
8,0.9,5,2,1.0217493327506024,108.4312499061182
8,1.0,5,2,1.018169683026284,103.25994825115794
10,0.04,5,1,1.0197312529039848,101.7659608084274
10,0.063,5,3,1.0299635862270158,110.6743362893884
10,0.16,5,1,1.0309329529334033,100.53628850056914
10,0.25,5,4,1.0094575638174255,198.79129056046645
10,0.4,5,3,1.021050602168769,107.45591196798401
10,0.6,5,3,1.0330032935545674,140.0994572135865
10,0.8,5,3,1.0147386294220122,103.08140380528587
10,0.9,5,4,1.0089102362436153,181.74835486456246
10,1.0,5,3,1.0234397232030257,102.92620420707401
13,0.04,5,2,1.017043851292681,156.27607459478708
13,0.063,5,1,1.0235686288121322,103.85571568052097
13,0.1,5,1,1.0226194400996063,104.03751559907712
13,0.16,5,3,1.0123081241177472,103.4479383882444
13,0.25,5,2,1.015595231199702,132.33558789623376
13,0.4,5,3,1.0355401218000666,127.92861898092714
13,0.6,5,4,1.0113708270321662,128.54930846947798
13,0.8,5,4,1.0068713546039108,186.61556010055514
13,0.9,5,3,1.0098508914798225,118.63231013486096
13,1.0,5,4,1.0137308369557914,105.58417392645971
16,0.04,5,2,1.0301213641085036,120.05583511990888
16,0.063,5,1,1.0127536412024492,124.74955940341096
16,0.1,5,1,1.0292008571351587,108.64911200799197
16,0.16,5,3,1.0267226570679338,102.46166406316347
16,0.25,5,2,1.0129122469803113,101.9374811238179
16,0.4,5,1,1.0209469050644597,143.54397019483773
16,0.6,5,2,1.02144685972702,115.49980230278678
16,0.8,5,4,1.0054937533482808,167.89855833139077
16,0.9,5,1,1.022052432621257,115.07521278488802
16,1.0,5,3,1.0091979506758542,190.67585999980264
19,0.04,5,3,1.0224717373711867,125.68955922381852
19,0.063,5,2,1.0172470764847328,156.08732669385864
19,0.1,5,1,1.0230033244700594,126.92603358916155
19,0.16,5,2,1.01261589082537,129.0516943829959
19,0.25,5,2,1.0223345283726677,120.79132827552651
19,0.4,5,2,1.0252179916085997,110.38568965077556
19,0.6,5,2,1.0239288306779752,105.50124642038494
19,0.8,5,1,1.0236506933586953,125.87145969778024
19,0.9,5,3,1.011901288639752,177.3346254621488
19,1.0,5,2,1.01247377384275,139.54490881204592
22,0.04,5,1,1.026471597109931,120.6691533056524
22,0.063,5,2,1.0320657902394483,152.85451478427976
22,0.1,5,4,1.0185694651620723,110.4425204248471
22,0.25,5,1,1.024472744281167,101.28333067145178
22,0.4,5,2,1.0208526168478531,125.16642137922496
22,0.6,5,1,1.0354998490361549,111.43972082480893
22,0.8,5,1,1.0137129184875981,116.0283427943817
22,1.0,5,1,1.0128496928656658,104.31059002162458
