window_count,trajectory_fraction,replicate,result_source,window_overlap_connected,included_in_valid_only_analysis,exclusion_reason,rmse_wham,avg_total_std,avg_total_variance,mean_crps_kj_mol,wham_inclusion_68,wham_inclusion_95,max_r_hat,min_effective_sample_size,divergence_count
3,0.04,1,nuts,False,True,,20.061490087943813,4.025675613063109,16.594088396994618,16.389857797782454,0.0125,0.075,1.0085043242715623,266.48545368060724,0
3,0.04,2,nuts,False,True,,20.442015292470828,3.948482050914019,16.0431457355886,16.658329432377197,0.0125,0.075,1.0049481441210297,115.75905431143046,0
3,0.04,3,nuts,False,True,,20.457244045391754,3.9092356135433635,15.733993070823335,16.601690005559753,0.0125,0.0875,1.015135834585087,178.41466115033228,0
3,0.04,4,nuts,False,True,,21.944696891624822,4.322604248233501,18.89512398518149,16.12569828862444,0.075,0.2625,1.0151588943960508,169.92254295828354,0
3,0.04,5,nuts_refined_fast,False,True,,17.911508784706943,4.1299022656922855,17.407504390738165,12.97870530012661,0.1625,0.3,1.0121821419204209,223.0557196524774,0
3,0.063,1,nuts,False,True,,19.827584767918175,4.173437861040398,17.81812555561196,16.12831015920998,0.0125,0.0875,1.0083054179805993,235.85461931806645,0
3,0.063,2,nuts,False,True,,20.101167142858483,3.9429881816541674,16.045754920982155,16.43525575531035,0.0125,0.0625,1.0284795576508732,177.3274408354533,0
3,0.063,3,nuts,False,True,,21.487514066317928,3.9465435274189176,15.898516786588772,15.914773439769096,0.1125,0.2375,1.0184672067523122,199.6171565175981,0
3,0.063,4,nuts,False,True,,21.90655219029007,4.199327650814028,17.89387424188275,16.138279777939697,0.0875,0.275,1.0060039987417617,135.12400656243904,0
3,0.063,5,nuts,False,True,,20.41263632777318,3.9662564535973672,16.0945351507854,16.08743924622046,0.0125,0.175,1.0113167932412812,193.86826403667587,0
3,0.1,1,nuts,False,False,failed_sampler_diagnostics,19.66775923544812,4.207398604450662,18.119430997021645,15.971788831757076,0.0125,0.0875,1.0139869540789515,99.60816370803713,0
3,0.1,2,nuts,True,True,,17.893097053210692,4.120654959792466,17.42106322010644,13.263190208749592,0.0375,0.1875,1.0170933674100577,144.96234839745995,0
3,0.1,3,nuts,False,False,failed_sampler_diagnostics,20.269815464062678,3.709242025189444,14.23096734611658,15.66220741861925,0.0375,0.175,1.0207001855723563,84.03430051677942,0
3,0.1,4,nuts,True,False,failed_sampler_diagnostics,21.08101605368127,4.07132469450386,16.955621683208204,15.800077262596028,0.0875,0.1875,1.0458717565498103,82.23141330827083,0
3,0.1,5,nuts,False,False,failed_sampler_diagnostics,18.34291843052308,3.8990361490353456,15.732676814630329,13.7264118966582,0.1125,0.2625,1.0244394609204623,75.56952586308954,0
3,0.16,1,nuts,False,False,failed_sampler_diagnostics,20.246215916230625,3.6880151048523784,14.059959237437624,16.410550607156,0.025,0.075,1.0405551307794474,95.88599985220871,0
3,0.16,2,nuts,True,True,,19.81165811851428,3.7987789818543605,14.940409095500808,13.4057825215235,0.1875,0.35,1.0042185775901942,133.5332588479551,0
3,0.16,3,nuts,True,True,,22.800657757022872,3.607296029655944,13.417926583860071,16.762994741157456,0.05,0.125,1.00200195176041,514.3924234835232,0
3,0.16,4,nuts,False,True,,18.830465689657153,3.5452132661325066,13.080606609515192,14.88964415978395,0.0375,0.15,1.0169101588106735,105.10354172827745,0
3,0.16,5,nuts,False,True,,20.124722651334373,3.7719187688992193,14.774935721784425,16.984557418119877,0.0625,0.1125,1.0232662209889924,103.4854196904171,0
3,0.25,1,nuts,False,True,,20.562023084949967,4.128199817345569,17.44983599891256,16.00136381280589,0.05,0.1125,1.0066752426989263,208.22307712930606,0
3,0.25,2,nuts,False,True,,20.49559090788044,3.7672253492117598,14.644928418281046,15.651173659362817,0.05,0.1875,1.0066073243796774,113.38919419083244,0
3,0.25,3,nuts_refined_fast,False,True,,20.035280881215066,3.7904565203101597,14.792053011440336,14.900662380894317,0.1875,0.225,1.0168724066643176,278.46767407402837,0
3,0.25,4,nuts,False,True,,20.535952897302703,3.943451864247571,15.968534872127742,15.192139953655396,0.05,0.125,1.006654156967094,184.52335078007482,0
3,0.25,5,nuts,False,True,,20.43938840807225,4.045801395859665,16.72938340548703,15.37211050105534,0.0625,0.1625,1.0131201417350095,208.61417083573104,0
3,0.4,1,nuts,False,True,,20.129338495186698,4.413566247246192,19.856245097478148,15.721988283828974,0.0375,0.0875,1.0038957905373458,175.09139184027947,0
3,0.4,2,nuts,False,True,,19.855418260549353,3.9296772038654915,15.89145608585099,15.99872544302969,0.05,0.125,1.0079791015485606,150.68610645254478,0
3,0.4,3,nuts,False,True,,21.247586835285805,3.491965693479746,12.62895283666406,16.048612044612376,0.05,0.25,1.0065026599072748,158.32792593153548,0
3,0.4,4,nuts,False,True,,19.15163324214661,3.6344624540959516,13.695345251848199,15.141168587828952,0.0375,0.075,1.0125562157646417,175.19688819902785,0
3,0.4,5,nuts,False,True,,19.999597146116557,4.085050941146006,17.137949646714254,15.21635386412276,0.05,0.175,1.0033551021922171,142.37388951450123,0
3,0.6,1,nuts,False,True,,20.484953603562584,3.5273263609771646,12.974720446573983,16.413065860188198,0.025,0.075,1.0207911524960824,100.48344999689691,0
3,0.6,2,nuts,False,True,,21.415944650962988,3.711978789655698,14.184372960839415,16.218025381308745,0.075,0.1875,1.0238215292127248,122.20848242861473,0
3,0.6,3,nuts,False,True,,21.85764091442226,3.905063816327799,15.597769915073775,16.132811586820388,0.1,0.3375,1.004148484879736,159.12153960553673,0
3,0.6,4,nuts,False,True,,21.18469092390579,3.480842486526553,12.647898752188357,16.239465444667296,0.0875,0.2,1.006584448789834,130.6950618699556,0
3,0.6,5,nuts,False,True,,20.873601988460056,3.6246766361803053,13.60828108652754,16.32514357625818,0.0125,0.175,1.0257859258563775,124.51056804668987,0
3,0.8,1,nuts,False,True,,20.421348915892523,3.5933824851527567,13.404283691112278,16.253686206343367,0.025,0.1,1.025874575738357,113.55469641262437,0
3,0.8,2,nuts,False,True,,18.07771109732067,3.876429397737965,15.506937445196414,14.099529858647633,0.0375,0.125,1.009464939695818,112.10383266747212,0
3,0.8,3,nuts,False,False,failed_sampler_diagnostics,21.94236426468097,3.884677077360373,15.436609213442662,16.181424907731603,0.0875,0.275,1.0293154074471231,66.5998726025066,0
3,0.8,4,nuts,False,False,failed_sampler_diagnostics,19.97461125754007,3.4929689021434434,12.719137647777464,15.382324621806907,0.15,0.1875,1.032174527850895,73.44394874010409,0
3,0.8,5,nuts,False,False,failed_sampler_diagnostics,19.879976977628402,3.611603981350389,13.554369353093467,15.649029275466598,0.075,0.1375,1.019447469529155,95.13726202829298,0
3,0.9,1,nuts,False,True,,20.199032561800564,3.5535648532235378,13.140687968240124,16.251343300971435,0.0125,0.0875,1.0063413345754413,176.57418916371222,0
3,0.9,2,nuts_refined_fast,True,False,failed_sampler_diagnostics,15.7690717870875,3.8464063562464106,15.260566061505383,12.555767550491373,0.0625,0.15,1.3456223903025706,15.276161438871032,0
3,0.9,3,nuts,False,True,,21.107837718619432,3.3427964547399327,11.758002523834083,16.51766489088318,0.025,0.1125,1.0166532238309698,100.61992681267837,0
3,0.9,4,nuts,False,False,failed_sampler_diagnostics,18.355903385545922,4.0593215134347505,16.933523877951757,14.614112918693811,0.0375,0.0875,1.0150692887049737,68.62893195189741,0
3,0.9,5,nuts,False,False,failed_sampler_diagnostics,19.692769190413053,3.725550172409099,14.334235499004716,15.03413949337289,0.15,0.225,1.0285964357210002,95.3317804136076,0
3,1.0,1,nuts,False,True,,20.185428122900674,3.571900570260355,13.298624207680508,16.189254284130186,0.0125,0.0875,1.0190581831708119,112.69371828307318,0
3,1.0,2,nuts,False,False,failed_sampler_diagnostics,19.266629477439405,3.4257175053001703,12.296802755100172,14.999833141605915,0.0625,0.2375,1.013898788251417,88.63701355734082,0
3,1.0,3,nuts,False,True,,17.59387171507206,3.873917963039357,15.471822940168204,13.189267517072613,0.1,0.2625,1.0115183176760836,169.92111960011974,0
3,1.0,4,nuts,False,True,,19.384889438099737,4.0885311176544175,17.14793340422351,15.084422184461022,0.0625,0.1375,1.014784214758695,105.13812688229117,0
3,1.0,5,nuts,False,False,failed_sampler_diagnostics,20.890930039212876,3.9128106546493937,15.65752597293562,15.557008403286455,0.1,0.3,1.037660355678798,81.52312847816548,0
4,0.04,1,nuts,False,True,,21.812949750139026,3.8404945062813134,15.06296260659417,16.24716523897093,0.025,0.225,1.0128524172097453,213.2531358100791,0
4,0.04,2,nuts,False,True,,20.220302926397935,3.8917080074361268,15.60200519253409,16.4383541262875,0.05,0.125,1.0130965307167032,185.1004505453818,0
4,0.04,3,nuts,False,True,,21.251645880073355,3.731667635074378,14.318001221486758,15.994597513850447,0.025,0.2375,1.0277988712009558,112.33170299568475,0
4,0.04,4,nuts,False,True,,18.50425650850166,4.046963819618741,16.827292687657838,13.802213892851146,0.1125,0.3,1.0342679383441937,101.86401684685305,0
4,0.04,5,nuts,False,True,,21.23611295373723,3.8842761257153358,15.585793210003501,14.424838604902224,0.1875,0.3375,1.0085766564621799,160.53663710485097,0
4,0.063,1,nuts,False,True,,21.543818671066383,4.44062827028119,19.965643389399425,15.808106226020152,0.0875,0.225,1.0184887824655764,129.5914745284059,0
4,0.063,2,nuts,False,False,failed_sampler_diagnostics,21.334307207907237,3.780185772172466,14.709596087072082,16.342967084798044,0.0125,0.1625,1.0481362885934615,94.54241297433617,0
4,0.063,3,nuts,False,True,,20.60517648616157,3.9428097029411275,15.954795615312417,16.07152172440549,0.025,0.1875,1.0116377013986697,172.33286991332406,0
4,0.063,4,nuts,False,True,,20.724541357705707,3.8896016087784964,15.504550343527953,15.552526576880359,0.1,0.2625,1.0045452488973445,142.78601460878812,0
