coordinate_nm,mean_kj_mol,std_kj_mol,lower_95_kj_mol,upper_95_kj_mol
1.449999999999999956e+00,-3.155173605093226996e+01,1.204995487950636796e-01,-3.178721488312863031e+01,-3.131754974600184838e+01
1.500000000000000000e+00,-3.378847868798526832e+01,1.187880876002895963e-01,-3.402441598273780698e+01,-3.355347576283488564e+01
1.550000000000000044e+00,-3.568781307791731194e+01,1.176684776033899149e-01,-3.592022116797937770e+01,-3.545631701398417590e+01
1.600000000000000089e+00,-3.809105384801939209e+01,1.143198413832656746e-01,-3.831539430733504759e+01,-3.786501818058609103e+01
1.649999999999999911e+00,-4.031072676526737553e+01,1.139925404744191045e-01,-4.053709376621515759e+01,-4.008773092572949537e+01
1.699999999999999956e+00,-4.163923289547584972e+01,1.126095590965881382e-01,-4.185997908250062949e+01,-4.141916133430734703e+01
1.750000000000000000e+00,-4.362387836416292686e+01,1.099363169137198559e-01,-4.383874917012763461e+01,-4.341066797977985914e+01
1.800000000000000044e+00,-4.509977477576143912e+01,1.093345424378398822e-01,-4.531225581040773420e+01,-4.488516714281875863e+01
1.850000000000000089e+00,-4.611816877195670372e+01,1.071679884897312751e-01,-4.632532456168813439e+01,-4.590898080287559679e+01
1.899999999999999911e+00,-4.763145569203706486e+01,1.051404143595779939e-01,-4.783956257006612134e+01,-4.742493768447788938e+01
1.949999999999999956e+00,-4.879200795086927656e+01,1.050253422886152505e-01,-4.899270086184872497e+01,-4.859081629163434002e+01
2.000000000000000000e+00,-4.941359906272153069e+01,1.010560515439700158e-01,-4.961573537989961125e+01,-4.921788391502668247e+01
2.049999999999999822e+00,-4.997661344419137919e+01,9.900218054319917527e-02,-5.017303964866052723e+01,-4.978703696045611338e+01
2.100000000000000089e+00,-5.006039693645524835e+01,9.745354491322245905e-02,-5.025579206005456001e+01,-4.987554255207042075e+01
2.149999999999999911e+00,-5.010977039802656918e+01,9.655882089469211560e-02,-5.030424545433911732e+01,-4.991883141550410130e+01
2.200000000000000178e+00,-5.034015892175678886e+01,9.493507788150221116e-02,-5.052942614208181737e+01,-5.015554074400380102e+01
2.250000000000000000e+00,-5.016317163033873072e+01,9.382976048177060768e-02,-5.035233014015786779e+01,-4.998210692073108419e+01
2.299999999999999822e+00,-4.997171352336454930e+01,9.284560148293843906e-02,-5.015601029476761141e+01,-4.978904293601227948e+01
2.350000000000000089e+00,-4.958493713019423410e+01,9.202289746115369096e-02,-4.976871674095805531e+01,-4.940831984233928864e+01
2.399999999999999911e+00,-4.863849875642026888e+01,9.065530232930785193e-02,-4.882114698612176085e+01,-4.846443498458098986e+01
2.450000000000000178e+00,-4.791167666936546254e+01,8.682174606439364839e-02,-4.809121591879421942e+01,-4.774316342913483879e+01
2.500000000000000000e+00,-4.720844221126031925e+01,8.617684917740399408e-02,-4.737945593385617826e+01,-4.704634720944786608e+01
2.549999999999999822e+00,-4.618996834315858280e+01,8.349595043972853070e-02,-4.635670360991738193e+01,-4.603079533989413363e+01
2.600000000000000089e+00,-4.534548538643412741e+01,8.012034516511294668e-02,-4.550856806206303418e+01,-4.519478188173819433e+01
2.649999999999999911e+00,-4.414897248905544558e+01,7.915601845790662394e-02,-4.430559382587195927e+01,-4.400093695969642482e+01
2.700000000000000178e+00,-4.270682674492931596e+01,7.536728510884234400e-02,-4.285461506707300572e+01,-4.256284690756415756e+01
2.750000000000000000e+00,-4.151301584971244552e+01,7.350050894873151608e-02,-4.165901492661885186e+01,-4.137189690045745039e+01
2.799999999999999822e+00,-3.961404573562401055e+01,7.176207808900400553e-02,-3.975665498179844803e+01,-3.947806045445493339e+01
2.850000000000000089e+00,-3.759955043895598692e+01,6.734262041124924880e-02,-3.773524461328284474e+01,-3.746796526623394641e+01
2.899999999999999911e+00,-3.589829004351693698e+01,6.459338996659311216e-02,-3.602778018099755997e+01,-3.576922726835404376e+01
