coordinate_nm,mean_kj_mol,std_kj_mol,lower_95_kj_mol,upper_95_kj_mol
1.449999999999999956e+00,-3.020351194014097729e+01,4.240629044567722161e+00,-3.851514486749371002e+01,-2.189187901278824455e+01
1.489898989898989834e+00,-3.199460226447580879e+01,4.240294501325779564e+00,-4.030557948707433980e+01,-2.368362504187728135e+01
1.529797979797979712e+00,-3.375093313389254490e+01,4.234790001749431099e+00,-4.205112153732142843e+01,-2.545074473046366137e+01
1.569696969696969591e+00,-3.545886839829429249e+01,4.225797771441567541e+00,-4.374143203031976412e+01,-2.717630476626882086e+01
1.609595959595959469e+00,-3.710578775069449620e+01,4.215046470263925649e+00,-4.536727883241179171e+01,-2.884429666897720068e+01
1.649494949494949347e+00,-3.867971878708078037e+01,4.203825469046135410e+00,-4.691921670641120556e+01,-3.044022086775035518e+01
1.689393939393939448e+00,-4.016904860143919365e+01,4.192856538788515941e+00,-4.838704741746468585e+01,-3.195104978541370144e+01
1.729292929292929326e+00,-4.156239739379813614e+01,4.182433357937941132e+00,-4.975996677535650292e+01,-3.336482801223976935e+01
1.769191919191919204e+00,-4.284870684628595683e+01,4.172661982843371753e+00,-5.102712433265896408e+01,-3.467028935991294958e+01
1.809090909090909083e+00,-4.401755629948361559e+01,4.163647208199780181e+00,-5.217830482755518062e+01,-3.585680777141205056e+01
1.848989898989898961e+00,-4.505967657247649782e+01,4.155550020739172901e+00,-5.320455461312527490e+01,-3.691479853182772075e+01
1.888888888888888840e+00,-4.596759188627727610e+01,4.148535777233895772e+00,-5.409872200965570954e+01,-3.783646176289884266e+01
1.928787878787878718e+00,-4.673629147561333497e+01,4.142689196297432375e+00,-5.485596230035630327e+01,-3.861662065087036666e+01
1.968686868686868596e+00,-4.736381903876314681e+01,4.137969426701355147e+00,-5.547423911509780226e+01,-3.925339896242849136e+01
2.008585858585858475e+00,-4.785167247133021107e+01,4.134232137668991669e+00,-5.595476746116143829e+01,-3.974857748149898384e+01
2.048484848484848353e+00,-4.820492765760244680e+01,4.131293191560187594e+00,-5.630226231306041029e+01,-4.010759300214448331e+01
2.088383838383838231e+00,-4.843203497443805361e+01,4.128983480563882758e+00,-5.652484259634326236e+01,-4.033922735253284486e+01
2.128282828282828110e+00,-4.854428005785475619e+01,4.127157334200484584e+00,-5.663350843288770875e+01,-4.045505168282180364e+01
2.168181818181817988e+00,-4.855494474052968457e+01,4.125653072733864057e+00,-5.664122476308806142e+01,-4.046866471797130771e+01
2.208080808080807866e+00,-4.847824348065949351e+01,4.124237920966958626e+00,-5.656174980575472944e+01,-4.039473715556425759e+01
2.247979797979797745e+00,-4.832813982773331674e+01,4.122580609303426513e+00,-5.640839782196803043e+01,-4.024788183349860304e+01
2.287878787878787623e+00,-4.811716314544123207e+01,4.120279717003419329e+00,-5.619291139076793229e+01,-4.004141490011453186e+01
2.327777777777777946e+00,-4.785534675039907881e+01,4.116945571120747438e+00,-5.592456006979574568e+01,-3.978613343100241195e+01
2.367676767676767824e+00,-4.754939570944409155e+01,4.112305885795303872e+00,-5.560951524560288561e+01,-3.948927617328529749e+01
2.407575757575757702e+00,-4.720216828667977182e+01,4.106293546453955834e+00,-5.525050363772952267e+01,-3.915383293563002098e+01
2.447474747474747581e+00,-4.681252299005218731e+01,4.099082194823592040e+00,-5.484672409190642384e+01,-3.877832188819795078e+01
2.487373737373737459e+00,-4.637554727289359846e+01,4.091055656469742452e+00,-5.439401635957429448e+01,-3.835707818621290244e+01
2.527272727272727337e+00,-4.588314798889398816e+01,4.082720825118870245e+00,-5.388528080612697124e+01,-3.788101517166100507e+01
2.567171717171717216e+00,-4.532495095575223587e+01,4.074591478214737883e+00,-5.331115025305312116e+01,-3.733875165845135058e+01
2.607070707070707094e+00,-4.468943003016918425e+01,4.067077645167852751e+00,-5.266090221469817578e+01,-3.671795784564019272e+01
2.646969696969696972e+00,-4.396516677129052653e+01,4.060410970041380629e+00,-5.192357227257163288e+01,-3.600676127000942017e+01
2.686868686868686851e+00,-4.314213120805900559e+01,4.054623815781357443e+00,-5.108919388699046493e+01,-3.519506852912754624e+01
2.726767676767676729e+00,-4.221287292569041227e+01,4.049583328273770100e+00,-5.015005624910700277e+01,-3.427568960227382178e+01
2.766666666666666607e+00,-4.117351954416435689e+01,4.045066266982443537e+00,-4.910184942744994885e+01,-3.324518966087876493e+01
2.806565656565656486e+00,-4.002449597986225172e+01,4.040850073412124210e+00,-4.794456212375001769e+01,-3.210442983597448574e+01
2.846464646464646364e+00,-3.877090136461301739e+01,4.036792638011563739e+00,-4.668301493511567912e+01,-3.085878779411035211e+01
2.886363636363636243e+00,-3.742250927117510884e+01,4.032877875646615706e+00,-4.532694990744247576e+01,-2.951806863490774191e+01
2.926262626262626121e+00,-3.599338859238088872e+01,4.029215062269887682e+00,-4.389065011442986730e+01,-2.809612707033191015e+01
2.966161616161615999e+00,-3.450117434496308988e+01,4.025993943361817706e+00,-4.239212247395225575e+01,-2.661022621597392757e+01
3.006060606060605878e+00,-3.296604703463782471e+01,4.023410952860655421e+00,-4.085193250224470773e+01,-2.508016156703094168e+01
3.045959595959595756e+00,-3.140950344775585634e+01,4.021590502022898583e+00,-3.929182083172073447e+01,-2.352718606379097466e+01
3.085858585858585634e+00,-2.985301874310530224e+01,4.020526455443259373e+00,-3.773325059577408780e+01,-2.197278689043651312e+01
3.125757575757575513e+00,-2.831670814981590922e+01,4.020062193294566377e+00,-3.619603004867325780e+01,-2.043738625095856065e+01
3.165656565656565835e+00,-2.681809593788420898e+01,4.019915337296984248e+00,-3.469712999898629846e+01,-1.893906187678211950e+01
3.205555555555555713e+00,-2.537108998533024362e+01,4.019739460711256207e+00,-3.324977932832430838e+01,-1.749240064233618241e+01
3.245454545454545592e+00,-2.398524333605267955e+01,4.019204354423140835e+00,-3.186288387072203676e+01,-1.610760280138332234e+01
3.285353535353535470e+00,-2.266536127779605181e+01,4.018071785376369220e+00,-3.054078197713373655e+01,-1.478994057845836707e+01
3.325252525252525349e+00,-2.141148560842191273e+01,4.016246062675262074e+00,-2.928332789126542579e+01,-1.353964332557839967e+01
3.365151515151515227e+00,-2.021925888851442821e+01,4.013786906205967675e+00,-2.808628122467812460e+01,-1.235223655235073181e+01
3.405050505050505105e+00,-1.908064246658840446e+01,4.010883445274584957e+00,-2.694197401932659020e+01,-1.121931091385021872e+01
3.444949494949495428e+00,-1.798493458301470582e+01,4.007799415988389846e+00,-2.584022143835194996e+01,-1.012964772767746169e+01
3.484848484848485306e+00,-1.692001041194109590e+01,4.004807692484364523e+00,-2.476943348921044930e+01,-9.070587334671742497e+00
3.524747474747475184e+00,-1.587368590532797974e+01,4.002134895235267109e+00,-2.371787029998910157e+01,-8.029501510666856134e+00
3.564646464646465063e+00,-1.483509319267258242e+01,3.999932975778917932e+00,-2.267496182519926151e+01,-6.995224560145903325e+00
3.604545454545454941e+00,-1.379594855227742833e+01,3.998284963542560799e+00,-2.163258708082084780e+01,-5.959310023734008865e+00
3.644444444444444819e+00,-1.275159607375683812e+01,3.997238736404537640e+00,-2.058618399710973179e+01,-4.917008150403944455e+00
3.684343434343434698e+00,-1.170172230606591413e+01,3.996849649633241075e+00,-1.953554761934706718e+01,-3.867896992784761956e+00
3.724242424242424576e+00,-1.065066007009366800e+01,3.997205337822223647e+00,-1.848518253222522745e+01,-2.816137607962109435e+00
3.764141414141414455e+00,-9.607232844146668782e+00,3.998409252657800117e+00,-1.744411497935595889e+01,-1.770350708937380446e+00
3.804040404040404333e+00,-8.584132961295933839e+00,4.000516141990233976e+00,-1.642514459959679129e+01,-7.431213229950754950e-01
3.843939393939394211e+00,-7.596873967111989145e+00,4.003439214682585678e+00,-1.544361482788985640e+01,2.498668936658789974e-01
3.883838383838384090e+00,-6.662405057394503061e+00,4.006873808304479923e+00,-1.451587772167128421e+01,1.191067606882277197e+00
3.923737373737373968e+00,-5.797517673163062213e+00,4.010290112160458165e+00,-1.365768629299756043e+01,2.062650946671436003e+00
3.963636363636363846e+00,-5.017204921459345712e+00,4.013026703534016804e+00,-1.288273726038601907e+01,2.848327417467326761e+00
4.003535353535354169e+00,-4.333148104762855723e+00,4.014470929210703254e+00,-1.220151112601583421e+01,3.535214916490122761e+00
4.043434343434343603e+00,-3.752497689671642433e+00,4.014262454753607656e+00,-1.162045210098871451e+01,4.115456721645428750e+00
4.083333333333333925e+00,-3.277087666832828816e+00,4.012431293750527317e+00,-1.114145300258386229e+01,4.587277668918204654e+00
4.123232323232323360e+00,-2.903174828781001082e+00,4.009400674529496555e+00,-1.076160015085881483e+01,4.955250493296811776e+00
4.163131313131313682e+00,-2.621733587550897582e+00,4.005844486652621939e+00,-1.047318878139003573e+01,5.229721606288241453e+00
4.203030303030303116e+00,-2.419270650366206254e+00,4.002460378736339308e+00,-1.026409299268943087e+01,5.425551691957018363e+00
4.242929292929293439e+00,-2.279061544824681818e+00,3.999762876072758377e+00,-1.011859678192728751e+01,5.560473692277924762e+00
4.282828282828282873e+00,-2.182661746329708663e+00,3.997987915185480468e+00,-1.001871806009324928e+01,5.653394567433832840e+00
4.322727272727273196e+00,-2.111516255096852035e+00,3.997135354234954807e+00,-9.945901549397362373e+00,5.722869039203659192e+00
4.362626262626262630e+00,-2.048486954687980699e+00,3.997097996003103670e+00,-9.882799026854064195e+00,5.785825117478102797e+00
4.402525252525252952e+00,-1.979137066777020948e+00,3.997783481045957377e+00,-9.814792689627097388e+00,5.856518556073055493e+00
4.442424242424242387e+00,-1.892652628421798156e+00,3.999154490194277045e+00,-9.730995429202581093e+00,5.945690172358984782e+00
4.482323232323232709e+00,-1.782335033769877342e+00,4.001177259112520090e+00,-9.624642461630415369e+00,6.059972394090661574e+00
4.522222222222222143e+00,-1.645657254024261107e+00,4.003733348496901101e+00,-9.492974617078186128e+00,6.201660109029664802e+00
4.562121212121212466e+00,-1.483930079682831860e+00,4.006571994648949975e+00,-9.336811189194772709e+00,6.368951029829109878e+00
4.602020202020202788e+00,-1.301665743462162794e+00,4.009348183242423147e+00,-9.159988182617311736e+00,6.556656695692986148e+00
4.641919191919192222e+00,-1.105749471317938770e+00,4.011730455095131376e+00,-8.968741163304397190e+00,6.757242220668518762e+00
4.681818181818182545e+00,-9.045332784503123946e-01,4.013515818683269565e+00,-8.771024283069520422e+00,6.961957726168895633e+00
4.721717171717171979e+00,-7.069526351994319668e-01,4.014686969586948706e+00,-8.575739095589851146e+00,7.161833825190987213e+00
4.761616161616162302e+00,-5.217403361071983880e-01,4.015386450869151247e+00,-8.391897779810733482e+00,7.348417107596337594e+00
4.801515151515151736e+00,-3.567796156559577270e-01,4.015833211445180240e+00,-8.227812710088510784e+00,7.514253478776595330e+00
4.841414141414142058e+00,-2.186071941543747954e-01,4.016234972718821794e+00,-8.090427740683264091e+00,7.653213352374515388e+00
4.881313131313131493e+00,-1.120523985438897085e-01,4.016739898271815434e+00,-7.984862599156647534e+00,7.760757802068868116e+00
4.921212121212121815e+00,-3.998459699666412348e-02,4.017435576935346475e+00,-7.914158327789943215e+00,7.834189133796614968e+00
4.961111111111111249e+00,-3.139100300057151571e-03,4.018370646997205142e+00,-7.879145568414578804e+00,7.872867367814464501e+00
5.001010101010101572e+00,0.000000000000000000e+00,4.019567426203065175e+00,-7.878352155358007813e+00,7.878352155358007813e+00
5.040909090909091006e+00,-2.673363921628002515e-02,4.021014186164526549e+00,-7.907921444098751529e+00,7.854454165666191479e+00
5.080808080808081328e+00,-7.718385970308894173e-02,4.022654043639505517e+00,-7.961585785236519719e+00,7.807218065830341835e+00
5.120707070707070763e+00,-1.429549899061335339e-01,4.024399567097263208e+00,-8.030778141416769600e+00,7.744868161604502532e+00
5.160606060606061085e+00,-2.136166930016933918e-01,4.026187081563084469e+00,-8.104943372865339057e+00,7.677709986861952274e+00
5.200505050505050519e+00,-2.770637781666298594e-01,4.028052414603061848e+00,-8.172046510788630869e+00,7.617918954455371150e+00
5.240404040404040842e+00,-3.200533093850417288e-01,4.030184153321708429e+00,-8.219214249895589575e+00,7.579107631125507005e+00
5.280303030303030276e+00,-3.289221652895442105e-01,4.032911605780792108e+00,-8.233428912619896067e+00,7.575584582040808534e+00
5.320202020202020599e+00,-2.904635457086701678e-01,4.036615093753173511e+00,-8.202229129464889468e+00,7.621302038047550020e+00
5.360101010101010033e+00,-1.929147410425997577e-01,4.041588660921834553e+00,-8.114428516449395445e+00,7.728599034364195930e+00
5.400000000000000355e+00,-2.698506062368366543e-02,4.047913620248579036e+00,-7.960895756310898186e+00,7.906925635063530855e+00
