source,x_nm,pmf_kJmol,error_kJmol
wham,1.45,-30.99237,1.39538
wham,1.5,-33.27408,1.50546
wham,1.55,-35.11158,1.5663
wham,1.6,-37.54649,1.5235
wham,1.65,-39.77263,1.51933
wham,1.7,-41.1045,1.57992
wham,1.75,-43.11008,1.53134
wham,1.8,-44.58029,1.45028
wham,1.85,-45.58724,1.36358
wham,1.9,-47.15364,1.38363
wham,1.95,-48.33732,1.34108
wham,2.0,-48.95587,1.30218
wham,2.05,-49.57294,1.28103
wham,2.1,-49.72671,1.3598
wham,2.15,-49.80333,1.38133
wham,2.2,-50.01999,1.30311
wham,2.25,-49.80282,1.28699
wham,2.3,-49.57433,1.29666
wham,2.35,-49.22726,1.28805
wham,2.4,-48.19696,1.25087
wham,2.45,-47.48365,1.18147
wham,2.5,-46.8579,1.12311
wham,2.55,-45.79274,1.13972
wham,2.6,-45.00991,1.111
wham,2.65,-43.8044,1.08263
wham,2.7,-42.27885,1.03715
wham,2.75,-41.05821,1.09329
wham,2.8,-39.16608,1.15586
wham,2.85,-37.11226,1.16924
wham,2.9,-35.4696,1.04021
wham,2.95,-33.44831,0.9323
wham,3.0,-31.76756,0.90247
wham,3.05,-30.03633,0.92126
wham,3.1,-27.98108,0.97002
wham,3.15,-26.28264,0.89404
wham,3.2,-24.5228,0.69104
wham,3.25,-22.60406,0.5433
wham,3.3,-21.2471,0.51627
wham,3.35,-20.14268,0.55948
wham,3.4,-18.79851,0.57172
wham,3.45,-17.46461,0.56782
wham,3.5,-16.26398,0.55954
wham,3.55,-14.95423,0.5608
wham,3.6,-13.44006,0.48582
wham,3.65,-12.06379,0.4531
wham,3.7,-10.70585,0.46851
wham,3.75,-9.53602,0.47212
wham,3.8,-8.38229,0.49402
wham,3.85,-6.92327,0.51554
wham,3.9,-5.28194,0.50476
wham,3.95,-4.17059,0.51741
wham,4.0,-3.6671,0.48555
wham,4.05,-3.66006,0.44672
wham,4.1,-3.50759,0.4489
wham,4.15,-3.40198,0.4454
wham,4.2,-3.14108,0.4347
wham,4.25,-2.74655,0.42072
wham,4.3,-2.56466,0.39391
wham,4.35,-2.34005,0.36656
wham,4.4,-2.11611,0.39524
wham,4.45,-1.8352,0.35286
wham,4.5,-1.73801,0.29601
wham,4.55,-1.44879,0.29092
wham,4.6,-1.10286,0.3003
wham,4.65,-1.0184,0.28971
wham,4.7,-0.85562,0.27424
wham,4.75,-0.71723,0.22347
wham,4.8,-0.47071,0.20153
wham,4.85,-0.26062,0.21906
wham,4.9,-0.19212,0.23621
wham,4.95,-0.14052,0.20119
wham,5.0,-0.05063,0.17557
wham,5.05,0.11325,0.16207
wham,5.1,0.22397,0.1605
wham,5.15,0.22797,0.18904
wham,5.2,0.13291,0.17494
wham,5.25,0.11313,0.14421
wham,5.3,0.02784,0.11441
wham,5.35,0.01508,0.09233
wham,5.4,0.0,0.0
ui,1.46975,0.0,2.49907
ui,1.50925,-1.89187,2.33076
ui,1.54875,-3.44184,2.17174
ui,1.58825,-5.22041,2.08359
ui,1.62775,-7.15728,2.0656
ui,1.66725,-8.64536,2.05337
ui,1.70675,-9.87674,2.06723
ui,1.74625,-11.28495,2.02221
ui,1.78575,-12.62734,1.85081
ui,1.82525,-13.57811,1.62273
ui,1.86475,-14.60296,1.51297
ui,1.90425,-15.82439,1.50802
ui,1.94375,-16.7558,1.50756
ui,1.98325,-17.36411,1.49107
ui,2.02275,-17.92451,1.4286
ui,2.06225,-18.34543,1.38229
ui,2.10175,-18.44011,1.41204
ui,2.14125,-18.42546,1.3975
ui,2.18075,-18.4614,1.24904
ui,2.22025,-18.45399,1.08901
ui,2.25975,-18.36428,1.03504
ui,2.29925,-18.19232,1.03354
ui,2.33875,-17.84709,1.01774
ui,2.37825,-17.28145,1.01571
ui,2.41775,-16.7247,0.99284
ui,2.45725,-16.30655,0.88573
ui,2.49675,-15.77293,0.8464
ui,2.53625,-15.01671,0.94392
ui,2.57575,-14.31592,1.03906
ui,2.61525,-13.60739,1.07817
ui,2.65475,-12.54884,1.14064
ui,2.69425,-11.35939,1.24723
ui,2.73375,-10.35098,1.39299
ui,2.77325,-9.21104,1.57477
ui,2.81275,-7.64748,1.74476
ui,2.85225,-6.10993,1.7918
ui,2.89175,-4.77348,1.68724
ui,2.93125,-3.29471,1.5428
ui,2.97075,-1.70762,1.43903
ui,3.01025,-0.22195,1.38636
ui,3.04975,1.22821,1.32269
ui,3.08925,2.74563,1.22581
ui,3.12875,4.23072,1.06749
ui,3.16825,5.64153,0.79694
ui,3.20775,7.04003,0.45308
ui,3.24725,8.37244,0.18683
ui,3.28675,9.49168,0.13316
ui,3.32625,10.44934,0.13233
ui,3.36575,11.42932,0.13501
ui,3.40525,12.45028,0.14519
ui,3.44475,13.42444,0.24657
ui,3.48425,14.37463,0.4327
ui,3.52375,15.40209,0.60546
ui,3.56325,16.51968,0.72497
ui,3.60275,17.64841,0.809
ui,3.64225,18.7106,0.8759
ui,3.68175,19.69886,0.90935
ui,3.72125,20.65435,0.88835
ui,3.76075,21.6196,0.82728
ui,3.80025,22.61973,0.76242
ui,3.83975,23.65191,0.72083
ui,3.87925,24.66963,0.70378
ui,3.91875,25.57338,0.69024
ui,3.95825,26.2582,0.66988
ui,3.99775,26.71119,0.65641
ui,4.03725,27.0171,0.65864
ui,4.07675,27.26429,0.67413
ui,4.11625,27.49372,0.69506
ui,4.15575,27.70909,0.70989
ui,4.19525,27.89929,0.70856
ui,4.23475,28.05817,0.68934
ui,4.27425,28.19558,0.66073
ui,4.31375,28.33307,0.63508
ui,4.35325,28.48913,0.62168
ui,4.39275,28.66758,0.62486
ui,4.43225,28.85784,0.64521
ui,4.47175,29.04551,0.68298
ui,4.51125,29.22369,0.737
ui,4.55075,29.39393,0.79712
ui,4.59025,29.55754,0.84643
ui,4.62975,29.7102,0.8734
ui,4.66925,29.84831,0.88026
ui,4.70875,29.97839,0.88098
ui,4.74825,30.11435,0.89085
ui,4.78775,30.26184,0.91775
ui,4.82725,30.40608,0.95907
ui,4.86675,30.51987,1.00443
ui,4.90625,30.58992,1.04394
ui,4.94575,30.63299,1.07386
ui,4.98525,30.68015,1.09515
ui,5.02475,30.74765,1.11087
ui,5.06425,30.82595,1.12526
ui,5.10375,30.89377,1.14213
ui,5.14325,30.94036,1.16183
ui,5.18275,30.9719,1.18091
ui,5.22225,30.99803,1.19687
ui,5.26175,31.02171,1.21231
ui,5.30125,31.04816,1.23165
ui,5.34075,31.10037,1.25326
ui,5.38025,31.21961,1.26827
