condition,method,n,median_seconds,min_seconds,max_seconds,relative_to_fixed
sparse,fixed,3,4.7645862909266725,4.693431542022154,5.001800250029191,1.0
sparse,hierarchical,3,28.149856874952093,27.532641874975525,30.634926917031407,5.908142943818356
sparse,map,3,6.414208166999742,6.191471374942921,6.417457624920644,1.3462256270212773
sparse,ui,3,4.707238666014746,4.660686458926648,4.735084583982825,0.9879637766197801
intermediate,fixed,3,4.515665999962948,4.509475165978074,4.520259208977222,1.0
intermediate,hierarchical,3,49.82621579198167,48.8890262079658,53.21461658307817,11.03407909096698
intermediate,ui,3,4.414987875032239,4.402281790971756,4.418499332969077,0.9777047007171178
intermediate,map,3,6.310511374962516,6.202827958040871,6.3344645840115845,1.3974707994378448
full,fixed,3,4.629641084000468,4.604996041976847,4.640718125039712,1.0
full,hierarchical,3,298.2058927080361,297.4562269169837,298.7831269160379,64.41231345959041
full,ui,3,4.692774958908558,4.429262915975414,4.762657665996812,1.0136368832405331
full,map,3,14.29681566695217,14.094679125002585,14.535664874943905,3.0881045436460286
