method,method_label,window_count,trajectory_fraction,mean_crps_kj_mol
ui,UI + block averaging,25,1.0,0.35175478124554405
ui,UI + block averaging,25,0.9,0.36138102729492694
ui,UI + block averaging,25,0.8,0.6900640718582122
ui,UI + block averaging,25,0.6,1.0444402978435996
ui,UI + block averaging,25,0.4,1.128103825540236
ui,UI + block averaging,25,0.25,1.479555962721741
ui,UI + block averaging,25,0.16,2.897534518453729
ui,UI + block averaging,25,0.1,2.4234534019359435
ui,UI + block averaging,25,0.063,1.9240859910729977
ui,UI + block averaging,25,0.04,4.420970178528757
ui,UI + block averaging,22,1.0,0.8586830007994132
ui,UI + block averaging,22,0.9,0.986974310387462
ui,UI + block averaging,22,0.8,0.9557437796635132
ui,UI + block averaging,22,0.6,1.4925227903219476
ui,UI + block averaging,22,0.4,1.3154809438758468
ui,UI + block averaging,22,0.25,2.147330810202519
ui,UI + block averaging,22,0.16,2.684164518543903
ui,UI + block averaging,22,0.1,4.070467241266048
ui,UI + block averaging,22,0.063,3.282279126202604
ui,UI + block averaging,22,0.04,2.126457505837323
ui,UI + block averaging,19,1.0,0.6474106770203082
ui,UI + block averaging,19,0.9,2.1936746008893384
ui,UI + block averaging,19,0.8,1.0128507663981552
ui,UI + block averaging,19,0.6,1.115392338067671
ui,UI + block averaging,19,0.4,1.3100117096596469
ui,UI + block averaging,19,0.25,2.717174619295104
ui,UI + block averaging,19,0.16,3.676821619627721
ui,UI + block averaging,19,0.1,2.6450298316781624
ui,UI + block averaging,19,0.063,4.368851086782485
ui,UI + block averaging,19,0.04,6.0169783796665675
ui,UI + block averaging,16,1.0,6.172061087424819
ui,UI + block averaging,16,0.9,1.8139195709916813
ui,UI + block averaging,16,0.8,1.3295394257602045
ui,UI + block averaging,16,0.6,4.482859250578927
ui,UI + block averaging,16,0.4,1.859758314997004
ui,UI + block averaging,16,0.25,1.5768129807357694
ui,UI + block averaging,16,0.16,6.655812115111575
ui,UI + block averaging,16,0.1,9.688347637426238
ui,UI + block averaging,16,0.063,11.647755878507134
ui,UI + block averaging,16,0.04,13.484344915072485
ui,UI + block averaging,13,1.0,4.413042026057561
ui,UI + block averaging,13,0.9,1.9063433125070608
ui,UI + block averaging,13,0.8,7.206531650550493
ui,UI + block averaging,13,0.6,2.1834861094041442
ui,UI + block averaging,13,0.4,5.847191433132798
ui,UI + block averaging,13,0.25,5.497693642883458
ui,UI + block averaging,13,0.16,8.382860529134456
ui,UI + block averaging,13,0.1,5.040731914044994
ui,UI + block averaging,13,0.063,4.348106017308048
ui,UI + block averaging,13,0.04,17.076941979392156
ui,UI + block averaging,10,1.0,12.69995756104506
