method,method_label,window_count,trajectory_fraction,mean_crps_kj_mol,wham_inclusion_68,wham_inclusion_95,profile_points
ui,UI + block averaging,25,1.0,0.35175478124554405,0.67,0.83,100
ui,UI + block averaging,25,0.9,0.36138102729492694,0.55,0.89,100
ui,UI + block averaging,25,0.8,0.6900640718582122,0.51,0.77,100
ui,UI + block averaging,25,0.6,1.0444402978435996,0.54,0.66,100
ui,UI + block averaging,25,0.4,1.128103825540236,0.58,0.69,100
ui,UI + block averaging,25,0.25,1.479555962721741,0.68,0.7,100
ui,UI + block averaging,25,0.16,2.897534518453729,0.41,0.6,100
ui,UI + block averaging,25,0.1,2.4234534019359435,0.56,0.6,100
ui,UI + block averaging,25,0.063,1.9240859910729977,0.58,0.7,100
ui,UI + block averaging,25,0.04,4.420970178528757,0.44,0.47,100
ui,UI + block averaging,22,1.0,0.8586830007994132,0.99,0.99,100
ui,UI + block averaging,22,0.9,0.986974310387462,0.23,0.77,100
ui,UI + block averaging,22,0.8,0.9557437796635132,0.99,0.99,100
ui,UI + block averaging,22,0.6,1.4925227903219476,0.4,0.68,100
ui,UI + block averaging,22,0.4,1.3154809438758468,0.99,0.99,100
ui,UI + block averaging,22,0.25,2.147330810202519,0.72,0.96,100
ui,UI + block averaging,22,0.16,2.684164518543903,0.7,0.99,100
ui,UI + block averaging,22,0.1,4.070467241266048,0.58,0.93,100
ui,UI + block averaging,22,0.063,3.282279126202604,0.98,0.99,100
ui,UI + block averaging,22,0.04,2.126457505837323,0.88,0.95,100
ui,UI + block averaging,19,1.0,0.6474106770203082,0.81,0.89,100
ui,UI + block averaging,19,0.9,2.1936746008893384,0.41,0.98,100
ui,UI + block averaging,19,0.8,1.0128507663981552,0.66,0.85,100
ui,UI + block averaging,19,0.6,1.115392338067671,0.7,0.8,100
ui,UI + block averaging,19,0.4,1.3100117096596469,0.99,0.99,100
ui,UI + block averaging,19,0.25,2.717174619295104,0.7,0.98,100
ui,UI + block averaging,19,0.16,3.676821619627721,0.41,0.62,100
ui,UI + block averaging,19,0.1,2.6450298316781624,0.97,0.99,100
ui,UI + block averaging,19,0.063,4.368851086782485,0.85,0.99,100
ui,UI + block averaging,19,0.04,6.0169783796665675,0.53,0.75,100
ui,UI + block averaging,16,1.0,6.172061087424819,0.99,0.99,100
ui,UI + block averaging,16,0.9,1.8139195709916813,0.96,0.99,100
ui,UI + block averaging,16,0.8,1.3295394257602045,0.72,0.98,100
ui,UI + block averaging,16,0.6,4.482859250578927,0.21,0.52,100
ui,UI + block averaging,16,0.4,1.859758314997004,0.95,0.98,100
ui,UI + block averaging,16,0.25,1.5768129807357694,0.99,0.99,100
ui,UI + block averaging,16,0.16,6.655812115111575,0.65,0.98,100
ui,UI + block averaging,16,0.1,9.688347637426238,0.13,0.66,100
ui,UI + block averaging,16,0.063,11.647755878507134,0.99,0.99,100
ui,UI + block averaging,16,0.04,13.484344915072485,0.57,0.97,100
ui,UI + block averaging,13,1.0,4.413042026057561,0.96,0.97,100
ui,UI + block averaging,13,0.9,1.9063433125070608,0.97,0.98,100
ui,UI + block averaging,13,0.8,7.206531650550493,0.16,0.69,100
ui,UI + block averaging,13,0.6,2.1834861094041442,0.98,0.99,100
ui,UI + block averaging,13,0.4,5.847191433132798,0.98,0.98,100
ui,UI + block averaging,13,0.25,5.497693642883458,0.52,0.83,100
ui,UI + block averaging,13,0.16,8.382860529134456,0.36,0.53,100
ui,UI + block averaging,13,0.1,5.040731914044994,0.97,0.98,100
ui,UI + block averaging,13,0.063,4.348106017308048,0.98,0.98,100
ui,UI + block averaging,13,0.04,17.076941979392156,0.87,0.99,100
ui,UI + block averaging,10,1.0,12.69995756104506,0.09,0.17,100
ui,UI + block averaging,10,0.9,4.279277587832367,0.98,0.98,100
ui,UI + block averaging,10,0.8,7.451662547137102,0.94,0.96,100
ui,UI + block averaging,10,0.6,7.9998431052799654,0.96,0.97,100
ui,UI + block averaging,10,0.4,4.930675940895305,0.97,0.98,100
ui,UI + block averaging,10,0.25,4.468278581704475,0.97,0.98,100
ui,UI + block averaging,10,0.16,7.947500621836359,0.97,0.98,100
ui,UI + block averaging,10,0.1,53.35121268494143,0.98,0.98,100
ui,UI + block averaging,10,0.063,5.036668696017329,0.86,0.98,100
ui,UI + block averaging,10,0.04,20.34619749909392,0.79,0.99,100
ui,UI + block averaging,8,1.0,5.428120177695247,0.6,0.92,100
ui,UI + block averaging,8,0.9,11.445626647148597,0.57,0.98,100
ui,UI + block averaging,8,0.8,6.33098915408055,0.95,0.97,100
ui,UI + block averaging,8,0.6,6.736682864152143,0.96,0.97,100
