left_center_nm,right_center_nm,histogram_overlap_coefficient
1.45,1.6,0.09644007494579061
1.6,1.75,0.11854487273952127
1.75,1.9,0.15250205258836658
1.9,2.05,0.14431275131049873
2.05,2.2,0.17824887897096903
2.2,2.35,0.2859097703206248
2.35,2.5,0.14942843308561923
2.5,2.65,0.1445653775709985
2.65,2.8,0.14808109302962044
2.8,2.95,0.11961853434664534
2.95,3.1,0.26637333950864195
3.1,3.25,0.25784720321677435
3.25,3.4,0.19928001515757562
3.4,3.55,0.22115323887918148
3.55,3.7,0.5186417128060462
3.7,3.85,0.3683501399970527
3.85,4.0,0.7295214837582367
4.0,4.2,0.155407254584114
4.2,4.4,0.3422664786004505
4.4,4.6,0.3849813688132881
4.6,4.8,0.3640344413801815
4.8,5.0,0.3173617397528473
5.0,5.2,0.3374876318393297
5.2,5.4,0.365697564261805
