analysis,index,fraction,window_index,window_center_nm,raw_segment_frames,ar1_tau_frames,thinning_stride,thinned_frames,histogrammed_frames
block,1,0.2,1,1.45,76000,7.190181075831729,8,9500,9061
block,1,0.2,2,1.6,76000,7.143262289039739,8,9500,9500
block,1,0.2,3,1.75,76000,7.154925341619149,8,9500,9500
block,1,0.2,4,1.9,76000,7.17324424703587,8,9500,9500
block,1,0.2,5,2.05,76000,7.189871152941005,8,9500,9500
block,1,0.2,6,2.2,76000,7.26856162905266,8,9500,9500
block,1,0.2,7,2.35,76000,7.29276077970626,8,9500,9500
block,1,0.2,8,2.5,76000,7.185268431031218,8,9500,9500
block,1,0.2,9,2.65,76000,7.156185779886801,8,9500,9500
block,1,0.2,10,2.8,76000,7.163168409622253,8,9500,9500
block,1,0.2,11,2.95,76000,7.157851007035827,8,9500,9500
block,1,0.2,12,3.1,76000,7.273729953884449,8,9500,9500
block,1,0.2,13,3.25,76000,7.293259326051467,8,9500,9500
block,1,0.2,14,3.4,76000,7.282601905348106,8,9500,9500
block,1,0.2,15,3.55,76000,7.286491010603278,8,9500,9500
block,1,0.2,16,3.7,76000,7.339568899090753,8,9500,9500
block,1,0.2,17,3.85,76000,7.332662260719459,8,9500,9500
block,1,0.2,18,4.0,76000,7.371814749155951,8,9500,9500
block,1,0.2,19,4.2,76000,7.36011820236521,8,9500,9500
block,1,0.2,20,4.4,76000,7.35246983995193,8,9500,9500
block,1,0.2,21,4.6,76000,7.357579582336572,8,9500,9500
block,1,0.2,22,4.8,76000,7.353696633192355,8,9500,9500
block,1,0.2,23,5.0,76000,7.348739932404806,8,9500,9500
block,1,0.2,24,5.2,76000,7.346555631824208,8,9500,9376
block,1,0.2,25,5.4,76000,7.345942275198866,8,9500,6014
block,2,0.4,1,1.45,76000,7.161235557004962,8,9500,8975
block,2,0.4,2,1.6,76000,7.138256996902208,8,9500,9500
block,2,0.4,3,1.75,76000,7.178872720537169,8,9500,9500
block,2,0.4,4,1.9,76000,7.161788716177725,8,9500,9500
block,2,0.4,5,2.05,76000,7.171067054366095,8,9500,9500
block,2,0.4,6,2.2,76000,7.268523635579327,8,9500,9500
block,2,0.4,7,2.35,76000,7.2676408020590895,8,9500,9500
block,2,0.4,8,2.5,76000,7.181145057893882,8,9500,9500
block,2,0.4,9,2.65,76000,7.201959253202998,8,9500,9500
block,2,0.4,10,2.8,76000,7.156322636478875,8,9500,9500
block,2,0.4,11,2.95,76000,7.192565408139042,8,9500,9500
block,2,0.4,12,3.1,76000,7.280557196167132,8,9500,9500
block,2,0.4,13,3.25,76000,7.289792120834475,8,9500,9500
block,2,0.4,14,3.4,76000,7.28700374385781,8,9500,9500
block,2,0.4,15,3.55,76000,7.270149477387425,8,9500,9500
block,2,0.4,16,3.7,76000,7.346165665150708,8,9500,9500
block,2,0.4,17,3.85,76000,7.332944078514608,8,9500,9500
block,2,0.4,18,4.0,76000,7.366498719189875,8,9500,9500
block,2,0.4,19,4.2,76000,7.359738578550695,8,9500,9500
block,2,0.4,20,4.4,76000,7.3605996189314835,8,9500,9500
block,2,0.4,21,4.6,76000,7.354977294844043,8,9500,9500
block,2,0.4,22,4.8,76000,7.351616539286435,8,9500,9500
block,2,0.4,23,5.0,76000,7.356614581285119,8,9500,9500
block,2,0.4,24,5.2,76000,7.352569985403635,8,9500,9354
block,2,0.4,25,5.4,76000,7.3482813120175035,8,9500,5829
block,3,0.6,1,1.45,76000,7.1582252265634985,8,9500,9046
block,3,0.6,2,1.6,76000,7.168220378603296,8,9500,9500
block,3,0.6,3,1.75,76000,7.142317782136217,8,9500,9500
block,3,0.6,4,1.9,76000,7.1579945539986065,8,9500,9500
block,3,0.6,5,2.05,76000,7.181318851557962,8,9500,9500
block,3,0.6,6,2.2,76000,7.259522356666321,8,9500,9500
block,3,0.6,7,2.35,76000,7.264010016271585,8,9500,9500
block,3,0.6,8,2.5,76000,7.208612982132002,8,9500,9500
block,3,0.6,9,2.65,76000,7.173205361762439,8,9500,9500
block,3,0.6,10,2.8,76000,7.147134215342705,8,9500,9500
block,3,0.6,11,2.95,76000,7.175947931459053,8,9500,9500
block,3,0.6,12,3.1,76000,7.274554935364854,8,9500,9500
block,3,0.6,13,3.25,76000,7.284576081350467,8,9500,9500
block,3,0.6,14,3.4,76000,7.284130394010242,8,9500,9500
block,3,0.6,15,3.55,76000,7.281600373303877,8,9500,9500
block,3,0.6,16,3.7,76000,7.320525864020239,8,9500,9500
block,3,0.6,17,3.85,76000,7.329006090622916,8,9500,9500
block,3,0.6,18,4.0,76000,7.369191665712069,8,9500,9500
block,3,0.6,19,4.2,76000,7.369088521468206,8,9500,9500
block,3,0.6,20,4.4,76000,7.3482782719061674,8,9500,9500
block,3,0.6,21,4.6,76000,7.352289548814326,8,9500,9500
block,3,0.6,22,4.8,76000,7.348888589152312,8,9500,9500
block,3,0.6,23,5.0,76000,7.349745062470246,8,9500,9500
block,3,0.6,24,5.2,76000,7.353483557423502,8,9500,9322
block,3,0.6,25,5.4,76000,7.351247837051177,8,9500,5926
block,4,0.8,1,1.45,76000,7.181741607469421,8,9500,8996
block,4,0.8,2,1.6,76000,7.165378087655512,8,9500,9500
block,4,0.8,3,1.75,76000,7.143518139811078,8,9500,9500
block,4,0.8,4,1.9,76000,7.186117398408855,8,9500,9500
block,4,0.8,5,2.05,76000,7.161271323834413,8,9500,9500
block,4,0.8,6,2.2,76000,7.268203709804181,8,9500,9500
block,4,0.8,7,2.35,76000,7.263063516459926,8,9500,9500
block,4,0.8,8,2.5,76000,7.169083502888315,8,9500,9500
block,4,0.8,9,2.65,76000,7.172763954726658,8,9500,9500
block,4,0.8,10,2.8,76000,7.180629876060621,8,9500,9500
block,4,0.8,11,2.95,76000,7.179100854326466,8,9500,9500
block,4,0.8,12,3.1,76000,7.2629530214752025,8,9500,9500
block,4,0.8,13,3.25,76000,7.2896855978624915,8,9500,9500
block,4,0.8,14,3.4,76000,7.2646676516491775,8,9500,9500
block,4,0.8,15,3.55,76000,7.262220546190994,8,9500,9500
