analysis,index,fraction,rmse_to_reference_kj_mol,wham_iterations,final_max_probability_change,total_thinned_histogram_count
block,1,0.2,3.275167591100739,4684,9.993932070795353e-11,233451
block,2,0.4,1.608523800559843,4619,9.993077199066391e-11,233158
block,3,0.6,2.589204265704982,4743,9.971955206022898e-11,233294
block,4,0.8,1.6454572771711478,4688,9.997360578273273e-11,233600
block,5,1.0,1.5368038072661336,4720,9.996861324856887e-11,233773
cumulative,1,0.2,3.275167591100739,4684,9.993932070795353e-11,233451
cumulative,2,0.4,0.8890332910091273,4623,9.985514498600523e-11,466609
cumulative,3,0.6,1.3430869190585566,4661,9.998751826501007e-11,699903
cumulative,4,0.8,0.6299809663781715,4662,9.979030102247322e-11,933503
cumulative,5,1.0,0.20882780056014183,4675,9.99714269700469e-11,1167276
block_average,0,0.2,0.28852213458230985,,,1167276
