analysis,index,fraction,coordinate_nm,free_energy_kj_mol,between_block_sd_kj_mol
block,1,0.2,1.45,-34.97608681660647,
block,1,0.2,1.5,-37.42268920522341,
block,1,0.2,1.55,-39.82657104246407,
block,1,0.2,1.6,-42.4527957866148,
block,1,0.2,1.65,-45.215661215127675,
block,1,0.2,1.7,-46.74722005796009,
block,1,0.2,1.75,-48.89790271194806,
block,1,0.2,1.8,-50.90606349951454,
block,1,0.2,1.85,-52.10962515584967,
block,1,0.2,1.9,-53.046394683962205,
block,1,0.2,1.95,-53.797864375949246,
block,1,0.2,2.0,-54.20361195944613,
block,1,0.2,2.05,-54.98920170578907,
block,1,0.2,2.1,-55.27563753730257,
block,1,0.2,2.15,-55.93707585918191,
block,1,0.2,2.2,-57.03171519525481,
block,1,0.2,2.25,-57.154688004638736,
block,1,0.2,2.3,-56.694840564045506,
block,1,0.2,2.35,-55.98724325627829,
block,1,0.2,2.4,-55.04623121324467,
block,1,0.2,2.45,-54.20435682873176,
block,1,0.2,2.5,-52.8728986939757,
block,1,0.2,2.55,-51.72698757510435,
block,1,0.2,2.6,-50.29047624947657,
block,1,0.2,2.65,-48.13084950316305,
block,1,0.2,2.7,-45.93776939160182,
block,1,0.2,2.75,-44.50524897763704,
block,1,0.2,2.8,-42.333553333241184,
block,1,0.2,2.85,-40.098871491024866,
block,1,0.2,2.9,-38.393610029284275,
block,1,0.2,2.95,-35.95590435822295,
block,1,0.2,3.0,-33.81987117382265,
block,1,0.2,3.05,-31.54153557433423,
block,1,0.2,3.1,-29.026942583831342,
block,1,0.2,3.15,-27.366342404470963,
block,1,0.2,3.2,-25.601515144956863,
block,1,0.2,3.25,-23.889543413573755,
block,1,0.2,3.3,-22.364257776585887,
block,1,0.2,3.35,-20.829326687757685,
block,1,0.2,3.4,-19.23837398489217,
block,1,0.2,3.45,-17.535198314834453,
block,1,0.2,3.5,-15.862832704414956,
block,1,0.2,3.55,-14.533699676611498,
block,1,0.2,3.6,-13.101305632008668,
block,1,0.2,3.65,-11.642714604119512,
block,1,0.2,3.7,-10.310899589404265,
block,1,0.2,3.75,-9.192772107001453,
block,1,0.2,3.8,-8.178064091528775,
block,1,0.2,3.85,-6.950646754415374,
block,1,0.2,3.9,-5.293064629042782,
block,1,0.2,3.95,-4.078683581485826,
block,1,0.2,4.0,-3.407029389079675,
block,1,0.2,4.05,-3.6449202799025926,
block,1,0.2,4.1,-3.439206868507938,
block,1,0.2,4.15,-3.3206398677800166,
block,1,0.2,4.2,-3.1474414588531445,
block,1,0.2,4.25,-2.794686851047828,
block,1,0.2,4.3,-2.98361728810886,
block,1,0.2,4.35,-3.1034056526979086,
block,1,0.2,4.4,-3.055844199918589,
block,1,0.2,4.45,-2.878777449972034,
block,1,0.2,4.5,-2.7342420280111384,
block,1,0.2,4.55,-2.28924027542579,
block,1,0.2,4.6,-1.618138054889208,
block,1,0.2,4.65,-1.2802792013538067,
block,1,0.2,4.7,-1.0759516364379138,
block,1,0.2,4.75,-1.1561446977898555,
block,1,0.2,4.8,-0.8809605406393928,
block,1,0.2,4.85,-0.7594745492821033,
block,1,0.2,4.9,-0.7366545288335047,
block,1,0.2,4.95,-0.5587706185004464,
block,1,0.2,5.0,-0.4815579593485708,
block,1,0.2,5.05,-0.10872821100824837,
block,1,0.2,5.1,0.0,
block,1,0.2,5.15,-0.09603599696664844,
block,1,0.2,5.2,-0.3453828229593654,
block,1,0.2,5.25,-0.18697916554264538,
block,1,0.2,5.3,-0.05651102597197877,
block,1,0.2,5.35,-0.2699159944157614,
block,1,0.2,5.4,-0.2994025038835133,
block,2,0.4,1.45,-29.6409106512846,
block,2,0.4,1.5,-31.498449052542746,
block,2,0.4,1.55,-32.929737604637836,
block,2,0.4,1.6,-35.763944689761516,
block,2,0.4,1.65,-38.34535298116541,
block,2,0.4,1.7,-39.879788253496706,
block,2,0.4,1.75,-41.35138037703783,
block,2,0.4,1.8,-42.24875404296065,
block,2,0.4,1.85,-43.30703234767542,
block,2,0.4,1.9,-44.98571317058117,
block,2,0.4,1.95,-46.33237891009578,
block,2,0.4,2.0,-47.10324644854036,
block,2,0.4,2.05,-47.777782805757724,
block,2,0.4,2.1,-47.78776944950398,
block,2,0.4,2.15,-47.63642204471707,
block,2,0.4,2.2,-47.13489585863521,
block,2,0.4,2.25,-46.07075977909959,
block,2,0.4,2.3,-45.95152267530845,
block,2,0.4,2.35,-46.34522940203608,
block,2,0.4,2.4,-46.115830977158694,
block,2,0.4,2.45,-45.5875344904645,
block,2,0.4,2.5,-44.53541455909219,
block,2,0.4,2.55,-43.108590150893285,
block,2,0.4,2.6,-42.17551479237814,
block,2,0.4,2.65,-41.04152559761217,
block,2,0.4,2.7,-40.30499107439076,
block,2,0.4,2.75,-39.07629303314023,
block,2,0.4,2.8,-36.99675199558549,
block,2,0.4,2.85,-35.04778507044737,
block,2,0.4,2.9,-33.20904676273291,
block,2,0.4,2.95,-31.28067350174351,
block,2,0.4,3.0,-29.775378178187896,
block,2,0.4,3.05,-28.592417102857752,
block,2,0.4,3.1,-27.24802415252338,
block,2,0.4,3.15,-25.77327758848724,
block,2,0.4,3.2,-23.87800387353249,
block,2,0.4,3.25,-21.992663146801853,
block,2,0.4,3.3,-21.163701356980155,
block,2,0.4,3.35,-20.09155771208146,
block,2,0.4,3.4,-19.17735840643236,
block,2,0.4,3.45,-18.027438696061026,
block,2,0.4,3.5,-16.41209279922993,
block,2,0.4,3.55,-14.672351371695889,
block,2,0.4,3.6,-13.13339370115834,
block,2,0.4,3.65,-11.750494154598215,
block,2,0.4,3.7,-10.517392210119539,
block,2,0.4,3.75,-9.38212357585931,
block,2,0.4,3.8,-8.0870149407423,
block,2,0.4,3.85,-6.756391149581788,
block,2,0.4,3.9,-5.175031680639314,
block,2,0.4,3.95,-4.331756558563228,
block,2,0.4,4.0,-3.8986544936369896,
block,2,0.4,4.05,-3.9358212333206097,
block,2,0.4,4.1,-3.921208018306821,
block,2,0.4,4.15,-3.82486629409199,
block,2,0.4,4.2,-3.6248945154060763,
block,2,0.4,4.25,-3.268014483088521,
block,2,0.4,4.3,-2.778157429539661,
block,2,0.4,4.35,-2.6249026301240903,
block,2,0.4,4.4,-2.4257089566638967,
block,2,0.4,4.45,-2.1187899334156484,
block,2,0.4,4.5,-2.099315223424,
block,2,0.4,4.55,-1.8340013198539182,
block,2,0.4,4.6,-1.5195720717003454,
block,2,0.4,4.65,-1.451863954095991,
block,2,0.4,4.7,-1.2736283734220208,
block,2,0.4,4.75,-1.124087250772284,
block,2,0.4,4.8,-0.9533058599286761,
block,2,0.4,4.85,-0.5812249620020395,
block,2,0.4,4.9,-0.38883976010883003,
block,2,0.4,4.95,-0.26675739671684084,
block,2,0.4,5.0,-0.06205904960953745,
block,2,0.4,5.05,0.0,
block,2,0.4,5.1,-0.1842323336493763,
block,2,0.4,5.15,-0.16164081525311502,
block,2,0.4,5.2,-0.3169090745575929,
block,2,0.4,5.25,-0.5009552050654307,
block,2,0.4,5.3,-0.4889268905704043,
block,2,0.4,5.35,-0.4291498639906024,
block,2,0.4,5.4,-0.5142486688421286,
block,3,0.6,1.45,-36.565291043621876,
block,3,0.6,1.5,-39.023321490757404,
block,3,0.6,1.55,-40.782425738401784,
block,3,0.6,1.6,-42.97541818764406,
block,3,0.6,1.65,-44.877025115847175,
block,3,0.6,1.7,-46.43332983095398,
block,3,0.6,1.75,-48.45448325261516,
block,3,0.6,1.8,-49.4983386766742,
block,3,0.6,1.85,-50.30809997084862,
block,3,0.6,1.9,-52.14612479227591,
block,3,0.6,1.95,-53.16867406830252,
block,3,0.6,2.0,-53.49809158826201,
block,3,0.6,2.05,-53.79665240769687,
block,3,0.6,2.1,-53.69300664185009,
block,3,0.6,2.15,-53.5563790274964,
block,3,0.6,2.2,-53.31534197017156,
block,3,0.6,2.25,-52.34877781529096,
block,3,0.6,2.3,-51.811775086761976,
block,3,0.6,2.35,-51.71175500567563,
block,3,0.6,2.4,-50.38320435328468,
block,3,0.6,2.45,-49.272240163199385,
block,3,0.6,2.5,-49.03569310619171,
block,3,0.6,2.55,-48.41903783552753,
block,3,0.6,2.6,-47.63852672123669,
block,3,0.6,2.65,-46.703737055328695,
block,3,0.6,2.7,-45.232812796571764,
block,3,0.6,2.75,-44.42491431251696,
block,3,0.6,2.8,-42.55667825201859,
block,3,0.6,2.85,-40.45998869985009,
block,3,0.6,2.9,-38.543675514708625,
block,3,0.6,2.95,-36.19439604288773,
block,3,0.6,3.0,-34.50601144745334,
block,3,0.6,3.05,-33.28581877751419,
block,3,0.6,3.1,-31.235363043583796,
block,3,0.6,3.15,-29.28206682415519,
block,3,0.6,3.2,-26.9505081361064,
block,3,0.6,3.25,-24.976571083729525,
block,3,0.6,3.3,-23.27604143362027,
block,3,0.6,3.35,-22.120379680810515,
block,3,0.6,3.4,-20.451856375807346,
block,3,0.6,3.45,-19.16685731348236,
block,3,0.6,3.5,-18.188495273865612,
block,3,0.6,3.55,-17.25175241720745,
block,3,0.6,3.6,-15.840145612418787,
block,3,0.6,3.65,-14.470972340309132,
block,3,0.6,3.7,-13.003404118748215,
block,3,0.6,3.75,-11.674012276117914,
block,3,0.6,3.8,-10.137554840374825,
block,3,0.6,3.85,-8.686914820592072,
block,3,0.6,3.9,-6.731000983471397,
block,3,0.6,3.95,-5.4957486117164365,
block,3,0.6,4.0,-5.183956473001537,
block,3,0.6,4.05,-5.034628344631805,
block,3,0.6,4.1,-4.511047384151411,
block,3,0.6,4.15,-4.344654898533747,
block,3,0.6,4.2,-3.938049596640681,
block,3,0.6,4.25,-3.7617234258021597,
block,3,0.6,4.3,-3.521866746332961,
block,3,0.6,4.35,-3.0882005016560754,
block,3,0.6,4.4,-3.2585005447327546,
block,3,0.6,4.45,-2.7912766457697202,
block,3,0.6,4.5,-2.516688147336808,
block,3,0.6,4.55,-2.104882276446176,
block,3,0.6,4.6,-1.7211139266261668,
block,3,0.6,4.65,-1.6734941988863952,
block,3,0.6,4.7,-1.609110582087773,
block,3,0.6,4.75,-1.3445862572521037,
block,3,0.6,4.8,-0.930776996053666,
block,3,0.6,4.85,-0.7677155825568818,
block,3,0.6,4.9,-0.6795022284954442,
block,3,0.6,4.95,-0.5327621637158941,
block,3,0.6,5.0,-0.3933196761412461,
block,3,0.6,5.05,-0.37150318918581604,
block,3,0.6,5.1,0.0,
block,3,0.6,5.15,-0.23258260880282933,
block,3,0.6,5.2,-0.40058472015028457,
block,3,0.6,5.25,-0.47570760943081325,
block,3,0.6,5.3,-0.5894591893236267,
block,3,0.6,5.35,-0.4147496187455104,
block,3,0.6,5.4,-0.48809251095600104,
block,4,0.8,1.45,-29.428592883553303,
block,4,0.8,1.5,-31.63580318013279,
block,4,0.8,1.55,-33.56964262128081,
block,4,0.8,1.6,-35.658188884276555,
block,4,0.8,1.65,-37.44263227280794,
block,4,0.8,1.7,-38.52852711933612,
block,4,0.8,1.75,-40.810607463292854,
block,4,0.8,1.8,-42.60996115692784,
block,4,0.8,1.85,-43.50452730542457,
block,4,0.8,1.9,-44.881064635571605,
block,4,0.8,1.95,-46.10568138011474,
block,4,0.8,2.0,-47.090269708751585,
block,4,0.8,2.05,-47.43387912176161,
block,4,0.8,2.1,-47.427880491023224,
block,4,0.8,2.15,-47.32345590844586,
block,4,0.8,2.2,-47.553156545960974,
block,4,0.8,2.25,-47.00467117537847,
block,4,0.8,2.3,-46.739483384733525,
block,4,0.8,2.35,-45.94517730858122,
