x,y,reference,fixed_mean,fixed_std,map_mean,map_std,hmc_mean,hmc_std
-3.629815086999999885e+00,-3.605595949999999661e+00,2.974298374516750300e+03,2.314091836904506636e+03,1.619282801467559096e+01,1.547275608523537585e+03,1.242736173239507558e+01,2.068485053817803418e+03,2.849096255931879682e+02
-3.629815086999999885e+00,-3.304262560416666439e+00,2.287510387845297828e+03,1.911667149595101364e+03,1.606765080867298323e+01,1.441709554839889961e+03,9.809253130827007894e+00,1.758939026916355033e+03,3.460800364352228371e+02
-3.629815086999999885e+00,-3.002929170833333217e+00,1.727767402699121476e+03,1.524205502531593083e+03,1.608451862770292351e+01,1.257287526906655330e+03,8.107065116946275296e+00,1.436124108562156380e+03,3.878529939661245862e+02
-3.629815086999999885e+00,-2.701595781249999551e+00,1.283849072721480297e+03,1.180068430290790275e+03,1.611732580271024418e+01,1.032225348907908938e+03,7.087751945647906560e+00,1.130731691090956247e+03,4.128981361729240120e+02
-3.629815086999999885e+00,-2.400262391666666328e+00,9.450771445207245733e+02,8.961810123932955321e+02,1.614190530261549128e+01,8.130743743884231662e+02,6.425179674969345278e+00,8.678354199244211031e+02,4.266321714173992063e+02
-3.629815086999999885e+00,-2.098929002083333106e+00,7.011622933302719503e+02,6.799927307704929262e+02,1.616052566769709742e+01,6.336111249583652807e+02,5.995529208852094172e+00,6.634911312872413873e+02,4.339093657216784550e+02
-3.629815086999999885e+00,-1.797595612499999662e+00,5.423766826393294878e+02,5.330186266656382941e+02,1.617588595874039115e+01,5.087847172194578889e+02,5.751637966375760413e+00,5.246640003530224021e+02,4.378658026187978294e+02
-3.629815086999999885e+00,-1.496262222916666218e+00,4.594908775658865352e+02,4.536803960289980751e+02,1.618823986871381138e+01,4.421518795221630853e+02,5.631990674976456113e+00,4.515035092683808671e+02,4.400797371203009902e+02
-3.629815086999999885e+00,-1.194928833333332996e+00,4.437794594616543122e+02,4.385115192812518217e+02,1.619747457396396229e+01,4.336144511287652676e+02,5.584347241639942894e+00,4.402561690601989994e+02,4.412331295445986825e+02
-3.629815086999999885e+00,-8.935954437499996628e-01,4.870273576065092698e+02,4.822888062103884295e+02,1.620387936135620421e+01,4.806359609723463109e+02,5.573480201912973442e+00,4.854802901470152392e+02,4.416751152888656407e+02
-3.629815086999999885e+00,-5.922620541666663296e-01,5.814687623304317867e+02,5.782114477438735776e+02,1.620811961748952967e+01,5.775758314068975778e+02,5.579417373346023723e+00,5.811623001846783154e+02,4.416911771783136373e+02
-3.629815086999999885e+00,-2.909286645833329965e-01,7.198687296099848254e+02,7.186871795436600223e+02,1.621085505684600392e+01,7.178080886406487480e+02,5.591403827581258312e+00,7.210554928683930029e+02,4.415621501971159546e+02
-3.629815086999999885e+00,1.040472500000033662e-02,8.954907170505150589e+02,8.963584506898769177e+02,1.621258233163013429e+01,8.958484950726619900e+02,5.607842669945637404e+00,8.987152163992509486e+02,4.415307579093577601e+02
-3.629815086999999885e+00,3.117381145833336697e-01,1.102100528864310036e+03,1.104641993179568090e+03,1.621361983951700125e+01,1.106033821401659679e+03,5.625867293163433480e+00,1.107509000019242194e+03,4.417116766615814640e+02
