x,y,reference,fixed_mean,fixed_std,map_mean,map_std,hmc_mean,hmc_std
-3.646220790624999708e+00,-3.618546335000000003e+00,1.209446934483727091e+03,4.013495445866137743e+02,1.445805124442686562e+01,4.369521106794491061e+02,7.394412982798640677e+00,6.547549320412578027e+02,1.061738540281093037e+02
-3.646220790624999708e+00,-3.316062221979166669e+00,9.313542055858902131e+02,3.244628652874380350e+02,1.444738730000746862e+01,3.601464662688813405e+02,7.324867713422672288e+00,5.707742719391735591e+02,1.090882436444546641e+02
-3.646220790624999708e+00,-3.013578108958333335e+00,7.044841068547414125e+02,2.608070707190781832e+02,1.444195034952353396e+01,2.956899954598738987e+02,7.284075182647848479e+00,4.830651731052308833e+02,1.103748212966718825e+02
-3.646220790624999708e+00,-2.711093995937500001e+00,5.243132302306147494e+02,2.108711355347186327e+02,1.444222492824771287e+01,2.440009923398647516e+02,7.269871037858138152e+00,3.984761654899575660e+02,1.104763990893606405e+02
-3.646220790624999708e+00,-2.408609882916666667e+00,3.865190268305472614e+02,1.742422502180561423e+02,1.444416328240648006e+01,2.044400401218263141e+02,7.266438372007489654e+00,3.236079127303073619e+02,1.100179382715636791e+02
-3.646220790624999708e+00,-2.106125769895833333e+00,2.869798069482749270e+02,1.502600153693929315e+02,1.444475269076696122e+01,1.764682962915794633e+02,7.265769396502324007e+00,2.638447808695830190e+02,1.094906433904467065e+02
-3.646220790624999708e+00,-1.803641656874999999e+00,2.217749247089352878e+02,1.379767188010737300e+02,1.444370998929518457e+01,1.597630561932528508e+02,7.257875949831146478e+00,2.227352700518385973e+02,1.091107340820000644e+02
-3.646220790624999708e+00,-1.501157543854166665e+00,1.871940918322376888e+02,1.361597555708140135e+02,1.444233752618759858e+01,1.539715411399956793e+02,7.245648094486373481e+00,2.018452962105457118e+02,1.088414209164110247e+02
-3.646220790624999708e+00,-1.198673430833333331e+00,1.797058424581982194e+02,1.438064138581976295e+02,1.444158186761269391e+01,1.588533580457733478e+02,7.236508310684700795e+00,2.010493008123816026e+02,1.085231583895315737e+02
-3.646220790624999708e+00,-8.961893178124999970e-01,1.959921511958720544e+02,1.608693929892033339e+02,1.444133324529166984e+01,1.747629127384898311e+02,7.231866489720629509e+00,2.190939659864986879e+02,1.080341159798723965e+02
