# x_nm,F_kJ_per_mol
-1.649999999999999911e+00,2.449294879916755363e+01
-1.643386773547094171e+00,2.393435304196365365e+01
-1.636773547094188208e+00,2.338599736870434853e+01
-1.630160320641282468e+00,2.284776399877317488e+01
-1.623547094188376727e+00,2.231953532722432598e+01
-1.616933867735470765e+00,2.180119394360204055e+01
-1.610320641282565024e+00,2.129262265088080497e+01
-1.603707414829659283e+00,2.079370448451308917e+01
-1.597094188376753321e+00,2.030432273157149581e+01
-1.590480961923847580e+00,1.982436094997180476e+01
-1.583867735470941840e+00,1.935370298776340547e+01
-1.577254509018036099e+00,1.889223300247366311e+01
-1.570641282565130137e+00,1.843983548049286370e+01
-1.564028056112224396e+00,1.799639525648587934e+01
-1.557414829659318656e+00,1.756179753281709210e+01
-1.550801603206412693e+00,1.713592789897506918e+01
-1.544188376753506953e+00,1.671867235098335769e+01
-1.537575150300601212e+00,1.630991731078364637e+01
-1.530961923847695250e+00,1.590954964557798945e+01
-1.524348697394789509e+00,1.551745668711647852e+01
-1.517735470941883769e+00,1.513352625091665793e+01
-1.511122244488977806e+00,1.475764665540155995e+01
-1.504509018036072066e+00,1.438970674094280611e+01
-1.497895791583166325e+00,1.402959588879533293e+01
-1.491282565130260362e+00,1.367720403991076417e+01
-1.484669338677354622e+00,1.333242171361608008e+01
-1.478056112224448881e+00,1.299514002614447605e+01
-1.471442885771542919e+00,1.266525070900562078e+01
-1.464829659318637178e+00,1.234264612718235732e+01
-1.458216432865731438e+00,1.202721929714101989e+01
-1.451603206412825475e+00,1.171886390464298167e+01
-1.444989979959919735e+00,1.141747432234480364e+01
-1.438376753507013994e+00,1.112294562717470825e+01
-1.431763527054108032e+00,1.083517361747321317e+01
-1.425150300601202291e+00,1.055405482988604682e+01
-1.418537074148296551e+00,1.027948655599727346e+01
-1.411923847695390588e+00,1.001136685869126630e+01
-1.405310621242484848e+00,9.749594588231953907e+00
-1.398697394789579107e+00,9.494069398047955133e+00
-1.392084168336673144e+00,9.244691760212871756e+00
-1.385470941883767404e+00,9.001362980609631137e+00
-1.378857715430861663e+00,8.763985213768352267e+00
