x_nm,reference,fixed_mean,fixed_std,map_mean,map_std,hmc_mean,hmc_std
-1.649999999999999911e+00,2.449291827458893778e+01,1.388173460386769875e+01,8.577342577443863192e+00,2.450949718151358780e+01,3.397624329066341708e+00,2.452526838993811253e+01,3.776802141302872506e+00
-1.638963210702341078e+00,2.356752942490390268e+01,1.353048101829062944e+01,8.577260004417691874e+00,2.358478318474123370e+01,3.392851707047489285e+00,2.358938204624745794e+01,3.770966483616596143e+00
-1.627926421404682245e+00,2.266930171557772766e+01,1.318315786631410447e+01,8.577168761975256572e+00,2.266669115932773337e+01,3.389354222179524090e+00,2.266144122441708930e+01,3.766811068242562843e+00
-1.616889632107023411e+00,2.179776160435640620e+01,1.283985042292169965e+01,8.577072633081385789e+00,2.176018636433531839e+01,3.386902022550860369e+00,2.174659490160367170e+01,3.764002389393165782e+00
-1.605852842809364356e+00,2.095553035504372374e+01,1.250064290137470380e+01,8.576968880914501270e+00,2.086979355042425510e+01,3.385274657799199449e+00,2.084949556775827517e+01,3.762221643688775430e+00
-1.594816053511705523e+00,2.013895420196021036e+01,1.216561838660982175e+01,8.576859946333362572e+00,1.999954965426061193e+01,3.384271331433659213e+00,1.997424989134857043e+01,3.761183682004981765e+00
-1.583779264214046689e+00,1.934749895167589173e+01,1.183485876870599895e+01,8.576746697269479469e+00,1.915296687129146136e+01,3.383717828245513370e+00,1.912438171069561577e+01,3.760649483430626550e+00
-1.572742474916387856e+00,1.858354329901851187e+01,1.150844467655497283e+01,8.576630592807322984e+00,1.833300671386425762e+01,3.383470127333595201e+00,1.830280795481990452e+01,3.760432055395824147e+00
-1.561705685618729023e+00,1.784374680219079679e+01,1.118645541175010294e+01,8.576506729364810511e+00,1.754206540391800928e+01,3.383415014864603609e+00,1.751182776649006456e+01,3.760396356510730786e+00
-1.550668896321070189e+00,1.712752435336652468e+01,1.086896888284718443e+01,8.576384785917124276e+00,1.678197068258348423e+01,3.383468230951160116e+00,1.675312476181256827e+01,3.760454355350069555e+00
-1.539632107023411356e+00,1.643702464151798281e+01,1.055606153994631313e+01,8.576257687646847927e+00,1.605398985009606605e+01,3.383570816173936180e+00,1.602778202537521679e+01,3.760556656852299895e+00
-1.528595317725752523e+00,1.576920491847301875e+01,1.024780830962572509e+01,8.576128065956581281e+00,1.535884858566509337e+01,3.383684368707948309e+00,1.533630911782804240e+01,3.760682248385999404e+00
-1.517558528428093467e+00,1.512343874719381454e+01,9.944282530588679947e+00,8.575997555067674583e+00,1.469675984553018822e+01,3.383785893185901728e+00,1.467868007364399041e+01,3.760827857584529532e+00
-1.506521739130434634e+00,1.450165792946032894e+01,9.645555889536808536e+00,8.575866844451025983e+00,1.406746190519378814e+01,3.383862832197558124e+00,1.405438109970947913e+01,3.760998204270787681e+00
-1.495484949832775801e+00,1.390110144606146747e+01,9.351698357938403205e+00,8.575731661341006173e+00,1.347026440507061551e+01,3.383908738633409019e+00,1.346246645836055045e+01,3.761198109868585160e+00
-1.484448160535116967e+00,1.332111086504175645e+01,9.062778129268735938e+00,8.575598924809430201e+00,1.290410108320089222e+01,3.383919890883517301e+00,1.290162083817493865e+01,3.761427046888565329e+00
-1.473411371237458134e+00,1.276341466344158171e+01,8.778861557123946113e+00,8.575465805817316323e+00,1.236758773890814922e+01,3.383892992021751311e+00,1.237022638733767543e+01,3.761676318195648072e+00
-1.462374581939799301e+00,1.222551734797301037e+01,8.500013093978395773e+00,8.575331900317342715e+00,1.185908387113264695e+01,3.383823945605290540e+00,1.186643251105630092e+01,3.761928697982428460e+00
-1.451337792642140467e+00,1.170673747709588319e+01,8.226295230839696160e+00,8.575199962412668242e+00,1.137675637713143573e+01,3.383707578130088489e+00,1.138822651776800576e+01,3.762160082407041362e+00
-1.440301003344481412e+00,1.120861408747835242e+01,7.957768437923732563e+00,8.575067326964523673e+00,1.091864368269562391e+01,3.383538090989108404e+00,1.093350323831663218e+01,3.762342513623877061e+00
-1.429264214046822579e+00,1.072890087551215466e+01,7.694491106065015629e+00,8.574934859277673738e+00,1.048271870405100259e+01,3.383309977380437594e+00,1.050013183556730745e+01,3.762447866489871728e+00
-1.418227424749163745e+00,1.026690193187924116e+01,7.436519489414877171e+00,8.574804759144702970e+00,1.006694911297854134e+01,3.383019131254796363e+00,1.008601816499339776e+01,3.762451516972015853e+00
